,datetime,date,time,timestamp,open,high,low,close,volume,Dividends,Stock Splits,average_volume,day_high,day_low,fifty_day_average,fifty_two_week_high,fifty_two_week_low,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2025-01-23 00:00:00-06:00,2025-01-23,00:00:00,1737612000,4.638000011444092,4.664000034332275,4.617000102996826,4.638000011444092,0,0.0,0.0,0,4.384,4.352,4.37796,4.997,3.345,4.307575,,4.638000011444092,4.638000011444092,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2025-01-24 00:00:00-06:00,2025-01-24,00:00:00,1737698400,4.642000198364258,4.6620001792907715,4.605000019073486,4.625999927520752,0,0.0,0.0,0,4.384,4.352,4.37796,4.997,3.345,4.307575,,4.635818178003484,4.636857146308536,,-0.0009572716520045432,-0.00019145433040090865,-0.0007658173216036346,,,,,,,,,,,,,,,,,,-0.0025873402099461096,
2,2025-01-27 00:00:00-06:00,2025-01-27,00:00:00,1737957600,4.5320000648498535,4.565000057220459,4.521999835968018,4.5279998779296875,0,0.0,0.0,0,4.384,4.352,4.37796,4.997,3.345,4.307575,,4.6162148507173395,4.626489787415313,,-0.00951402950454927,-0.002055969365230581,-0.007458060139318689,,,,,,,,,,,,,,,,,,-0.02118461978523778,
3,2025-01-28 00:00:00-06:00,2025-01-28,00:00:00,1738044000,4.568999767303467,4.578999996185303,4.545000076293945,4.551000118255615,0,0.0,0.0,0,4.384,4.352,4.37796,4.997,3.345,4.307575,,4.604357626633389,4.61930029511439,,-0.01427484307237048,-0.00449974410665856,-0.00977509896571192,,,,,,,,,,,,,,,,,,0.00507955851280717,
4,2025-01-29 00:00:00-06:00,2025-01-29,00:00:00,1738130400,4.526000022888184,4.591000080108643,4.510000228881836,4.554999828338623,0,0.0,0.0,0,4.384,4.352,4.37796,4.997,3.345,4.307575,,4.595383481488886,4.613176441135745,,-0.017523083746266543,-0.007104412034580157,-0.010418671711686386,,,,,,,,,,,,,,,,,,0.0008788639813397392,
5,2025-01-30 00:00:00-06:00,2025-01-30,00:00:00,1738216800,4.49399995803833,4.5370001792907715,4.48799991607666,4.51200008392334,0,0.0,0.0,0,4.384,4.352,4.37796,4.997,3.345,4.307575,,4.580222863749696,4.6035405975917065,,-0.02329848743277374,-0.010343227114218874,-0.012955260318554866,,,,,,,,,,,,,,,,,,-0.009440119876133246,
6,2025-01-31 00:00:00-06:00,2025-01-31,00:00:00,1738303200,4.525000095367432,4.568999767303467,4.501999855041504,4.568999767303467,0,0.0,0.0,0,4.384,4.352,4.37796,4.997,3.345,4.307575,,4.578182300759472,4.600250994707112,,-0.023010883243071767,-0.012876758339989452,-0.010134124903082315,,,,,,,,,,,,,,,,,,0.01263290831558761,
7,2025-02-03 00:00:00-06:00,2025-02-03,00:00:00,1738562400,4.50600004196167,4.557000160217285,4.461999893188477,4.543000221252441,0,0.0,0.0,0,4.384,4.352,4.37796,4.997,3.345,4.307575,,4.571785559030921,4.594798540092381,,-0.024597357899165395,-0.015220878251824641,-0.009376479647340754,,,,,,,,,,,,,,,,,,-0.005690424026081664,
8,2025-02-04 00:00:00-06:00,2025-02-04,00:00:00,1738648800,4.577000141143799,4.5980000495910645,4.508999824523926,4.513000011444092,0,0.0,0.0,0,4.384,4.352,4.37796,4.997,3.345,4.307575,,4.5610972776514975,4.5870082040306395,,-0.02795318973239258,-0.01776734054793823,-0.010185849184454351,,,,,,,,,,,,,,,,,,-0.006603611786767383,
9,2025-02-05 00:00:00-06:00,2025-02-05,00:00:00,1738735200,4.464000225067139,4.473999977111816,4.400000095367432,4.421999931335449,0,0.0,0.0,0,4.384,4.352,4.37796,4.997,3.345,4.307575,,4.535806851048579,4.571293130440621,,-0.03752311348809023,-0.02171849513596863,-0.015804618352121602,,,,,,,,,,,,,,,,,,-0.020163988450672243,
