datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,forward_pe,latest_dividend_amount,market_cap,price_to_book,shares_outstanding,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
2024-07-17 00:00:00-04:00,2024-07-17,00:00:00,1721188800,90.0641169344586,90.52441377550021,89.84356367100726,90.32303619384766,65818380,0.0,0.0,0.0,37900823,148.865,85.6566,84.19,68.5,4.39,86.288,101.64,83.3,-4256.5,0.328,9338760192,0.5718604,109700000,89.41305,1.130645756322829,90.32303619384766,90.32303619384766,74.02561417440455,0.0,0.0,0.0,95.29132842758125,91.00107917785644,86.71082992813163,87.0069137840577,67.6313134245063,-12.9930862159423,91.369323180488,36.36668260247891,44.9704184062686,14.600094228559577,32909190.0,96.15644175699332,91.93557802729148,87.71471429758967,93.31927924308327,91.03593585470935,88.75259246633543,-0.007644004415642391,0.15058985379178194
2024-07-18 00:00:00-04:00,2024-07-18,00:00:00,1721275200,89.83398411477184,90.27509801648735,89.54629763635383,89.63260650634766,65818380,0.0,0.0,0.0,37900823,148.865,85.6566,84.19,68.5,4.39,86.288,101.64,83.3,-4256.5,0.328,9338760192,0.5718604,109700000,89.41305,1.130645756322829,90.092892964681,90.1975035233931,74.02561417440455,-0.05507701210827065,-0.01101540242165413,-0.04406160968661652,95.29132842758125,91.00107917785644,86.71082992813163,87.0069137840577,67.6313134245063,-12.9930862159423,91.369323180488,36.36668260247891,44.9704184062686,14.600094228559577,32909190.0,96.15644175699332,91.93557802729148,87.71471429758967,93.31927924308327,91.03593585470935,88.75259246633543,-0.007644004415642391,0.15058985379178194
2024-07-19 00:00:00-04:00,2024-07-19,00:00:00,1721361600,89.22025488127896,89.3353309295501,89.00928578420053,89.10517883300781,65818380,0.0,0.0,0.0,37900823,148.865,85.6566,84.19,68.5,4.39,86.288,101.64,83.3,-4256.5,0.328,9338760192,0.5718604,109700000,89.41305,1.130645756322829,89.76365492078995,89.99889903423212,74.02561417440455,-0.13967486149530828,-0.03674729423638496,-0.10292756725892332,95.29132842758125,91.00107917785644,86.71082992813163,87.0069137840577,67.6313134245063,-12.9930862159423,91.369323180488,36.36668260247891,44.9704184062686,14.600094228559577,32909190.0,96.15644175699332,91.93557802729148,87.71471429758967,93.31927924308327,91.03593585470935,88.75259246633543,-0.00588432819146556,0.15058985379178194
2024-07-22 00:00:00-04:00,2024-07-22,00:00:00,1721620800,89.56547654722954,89.68054528040575,88.51063836814683,88.84626770019531,65818380,0.0,0.0,0.0,37900823,148.865,85.6566,84.19,68.5,4.39,86.288,101.64,83.3,-4256.5,0.328,9338760192,0.5718604,109700000,89.41305,1.130645756322829,89.45785918059174,89.78932970077088,74.02561417440455,-0.22501737105145025,-0.07440130959939802,-0.15061606145205225,95.29132842758125,91.00107917785644,86.71082992813163,87.0069137840577,67.6313134245063,-12.9930862159423,91.369323180488,36.36668260247891,44.9704184062686,14.600094228559577,32909190.0,96.15644175699332,91.93557802729148,87.71471429758967,93.31927924308327,91.03593585470935,88.75259246633543,-0.0029056799638742525,0.15058985379178194
2024-07-23 00:00:00-04:00,2024-07-23,00:00:00,1721707200,88.99970602248729,89.21067514739008,88.69284383613004,88.72161102294922,65818380,0.0,0.0,0.0,37900823,148.865,85.6566,84.19,68.5,4.39,86.288,101.64,83.3,-4256.5,0.328,9338760192,0.5718604,109700000,89.41305,1.130645756322829,89.21244312804424,89.59519903207604,74.02561417440455,-0.29926098246633615,-0.11937324417278564,-0.1798877382935505,95.29132842758125,91.00107917785644,86.71082992813163,87.0069137840577,67.6313134245063,-12.9930862159423,91.369323180488,36.36668260247891,44.9704184062686,14.600094228559577,32909190.0,96.15644175699332,91.93557802729148,87.71471429758967,93.31927924308327,91.03593585470935,88.75259246633543,-0.0014030603701523647,0.15058985379178194
2024-07-24 00:00:00-04:00,2024-07-24,00:00:00,1721793600,88.78872818638102,89.03805597463797,87.71471429758967,87.76265716552734,65818380,0.0,0.0,0.0,37900823,148.865,85.6566,84.19,68.5,4.39,86.288,101.64,83.3,-4256.5,0.328,9338760192,0.5718604,109700000,89.41305,1.130645756322829,88.72918114053861,89.26200960179446,74.02561417440455,-0.4305164161331163,-0.18160187856485177,-0.24891453756826454,95.29132842758125,91.00107917785644,86.71082992813163,87.0069137840577,67.6313134245063,-12.9930862159423,91.369323180488,36.36668260247891,44.9704184062686,14.600094228559577,32909190.0,96.15644175699332,91.93557802729148,87.71471429758967,93.31927924308327,91.03593585470935,88.75259246633543,-0.010808571286806679,0.15058985379178194
2024-07-25 00:00:00-04:00,2024-07-25,00:00:00,1721880000,88.25170492481728,89.04763101036421,88.18457906917895,88.48184967041016,65818380,0.0,0.0,0.0,37900823,148.865,85.6566,84.19,68.5,4.39,86.288,101.64,83.3,-4256.5,0.328,9338760192,0.5718604,109700000,89.41305,1.130645756322829,88.64673731716246,89.12016234154277,74.02561417440455,-0.4710742180052421,-0.23949634645292986,-0.23157787155231221,95.29132842758125,91.00107917785644,86.71082992813163,87.0069137840577,67.6313134245063,-12.9930862159423,91.369323180488,36.36668260247891,44.9704184062686,14.600094228559577,32909190.0,96.15644175699332,91.93557802729148,87.71471429758967,93.31927924308327,91.03593585470935,88.75259246633543,0.008194743961846607,0.15058985379178194
2024-07-26 00:00:00-04:00,2024-07-26,00:00:00,1721966400,89.13393593827912,89.32572933037962,88.90379118392836,89.17229461669922,65818380,0.0,0.0,0.0,37900823,148.865,85.6566,84.19,68.5,4.39,86.288,101.64,83.3,-4256.5,0.328,9338760192,0.5718604,109700000,89.41305,1.130645756322829,88.82192308367472,89.12964093702575,74.02561417440455,-0.4424036771127078,-0.28007781258488545,-0.16232586452782233,95.29132842758125,91.00107917785644,86.71082992813163,87.0069137840577,67.6313134245063,-12.9930862159423,91.369323180488,36.36668260247891,44.9704184062686,14.600094228559577,32909190.0,96.15644175699332,91.93557802729148,87.71471429758967,93.31927924308327,91.03593585470935,88.75259246633543,0.007803238165351667,0.15058985379178194
2024-07-29 00:00:00-04:00,2024-07-29,00:00:00,1722225600,89.82438194873093,89.84356494697224,89.39285959851411,89.65177154541016,65818380,0.0,0.0,0.0,37900823,148.865,85.6566,84.19,68.5,4.39,86.288,101.64,83.3,-4256.5,0.328,9338760192,0.5718604,109700000,89.41305,1.130645756322829,89.09853923758654,89.22457377491382,74.02561417440455,-0.37665049347222634,-0.29939234876235366,-0.07725814470987269,95.29132842758125,91.00107917785644,86.71082992813163,87.0069137840577,67.6313134245063,-12.9930862159423,91.369323180488,36.36668260247891,44.9704184062686,14.600094228559577,32909190.0,96.15644175699332,91.93557802729148,87.71471429758967,93.31927924308327,91.03593585470935,88.75259246633543,0.005376971970632027,0.15058985379178194
2024-07-30 00:00:00-04:00,2024-07-30,00:00:00,1722312000,89.90110859534838,90.18879506932187,89.46958620055908,89.99700164794922,65818380,0.0,0.0,0.0,37900823,148.865,85.6566,84.19,68.5,4.39,86.288,101.64,83.3,-4256.5,0.328,9338760192,0.5718604,109700000,89.41305,1.130645756322829,89.39802670770743,89.3650152063748,74.02561417440455,-0.2933024298080795,-0.29817436497149885,0.0048719351634193275,95.29132842758125,91.00107917785644,86.71082992813163,87.0069137840577,67.6313134245063,-12.9930862159423,91.369323180488,36.36668260247891,44.9704184062686,14.600094228559577,32909190.0,96.15644175699332,91.93557802729148,87.71471429758967,93.31927924308327,91.03593585470935,88.75259246633543,0.003850789522482634,0.15058985379178194
