datetime,date,time,timestamp,open,high,low,close,volume,Dividends,Stock Splits,average_volume,beta,book_value,calculated_asset_turnover,calculated_cashflow_to_debt,calculated_debt_to_assets,calculated_ebitda_margin,calculated_fcf_yield,calculated_net_margin,calculated_operating_margin,calculated_receivables_turnover,calculated_roa,calculated_roe,cash_per_share,current_ratio,day_high,day_low,debt_to_equity,earnings_forward,earnings_growth,earnings_quarterly_growth,earnings_ttm,ebitda,ebitda_margin,enterprise_value,eps_forward,eps_ttm,ev_to_ebitda,ev_to_revenue,fifty_day_average,fifty_two_week_high,fifty_two_week_low,float_shares,forward_pe,free_cashflow,gross_margin,gross_profits,held_percent_insiders,held_percent_institutions,market_cap,net_income,net_income_margin,net_income_ttm,operating_cashflow,operating_margin,payout_ratio,pe_ratio,price_to_book,price_to_sales,profit_margin,quarterly_accounts_payable,quarterly_accounts_receivable,quarterly_capital_expenditure,quarterly_change_in_receivables,quarterly_debt,quarterly_ebit,quarterly_ebitda,quarterly_eps,quarterly_financing_cashflow,quarterly_free_cashflow,quarterly_gross_profit,quarterly_investing_cashflow,quarterly_long_term_debt,quarterly_net_income,quarterly_operating_cashflow,quarterly_operating_expense,quarterly_operating_income,quarterly_research_development,quarterly_revenue,quarterly_selling_general_admin,quarterly_total_assets,quarterly_total_equity,quarterly_total_liabilities,quick_ratio,return_on_assets,return_on_equity,revenue_growth,revenue_per_share,shares_outstanding,shares_percent_shares_out,shares_short,shares_short_prior_month,short_percent_of_float,short_ratio,total_cash,total_debt,total_revenue,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
2025-05-23 04:00:00-04:00,2025-05-23,04:00:00,1747987200,123.52,124.32,123.52,124.16,49323377,0.0,0.0,85556088,2.593,2.299,0.4519097021803269,4.71743201033541,0.03857443220850594,0.11934711728151423,0.0032440525296147838,0.16129431894600152,0.10832393709036481,4.983074456393205,0.0900018054264989,248234453.24053937,2.301,6.494,151.7899,145.062,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,346700873728,0.47,0.22,796.389,111.3,134.8538,155.68,21.23,2178482332,317.17023,931205248,0.8001,2492320000,0.03638,0.55841,351791775744,570691008,570691008,570691008,1334548992,0.19917999,0.0,677.59094,64.84124,112.93389,0.18320999,103000.0,575048000.0,-12634000.0,-211157000.0,239219000.0,310403000.0,341990000.0,0.21,463364000.0,1141231000.0,2299517000.0,-340655000.0,,462190000.0,1153865000.0,1989114000.0,310403000.0,507878000.0,2865507000.0,1481236000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,2262909952,0.0218,51517225,44644575,0.0239,0.56,5430688768,244596000,3115023872,91.96365,1.6590925493512836,124.16,124.16,46.694518934082495,0.0,0.0,0.0,127.68453954972891,123.87923001098633,120.07392047224376,64.59015424031924,63.66119263110997,-35.40984575968078,205.6067905414621,30.510184712645444,17.049781859102854,23.808187756905248,24661688.5,127.91,123.675,119.44,126.79289118265787,123.89866161356608,121.00443204447429,-0.0048324742268041065,0.13066909625088297
2025-05-23 05:00:00-04:00,2025-05-23,05:00:00,1747990800,124.15,124.44,123.55,123.56,49323377,0.0,0.0,85556088,2.593,2.299,0.4519097021803269,4.71743201033541,0.03857443220850594,0.11934711728151423,0.0032440525296147838,0.16129431894600152,0.10832393709036481,4.983074456393205,0.0900018054264989,248234453.24053937,2.301,6.494,151.7899,145.062,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,346700873728,0.47,0.22,796.389,111.3,134.8538,155.68,21.23,2178482332,317.17023,931205248,0.8001,2492320000,0.03638,0.55841,351791775744,570691008,570691008,570691008,1334548992,0.19917999,0.0,677.59094,64.84124,112.93389,0.18320999,103000.0,575048000.0,-12634000.0,-211157000.0,239219000.0,310403000.0,341990000.0,0.21,463364000.0,1141231000.0,2299517000.0,-340655000.0,,462190000.0,1153865000.0,1989114000.0,310403000.0,507878000.0,2865507000.0,1481236000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,2262909952,0.0218,51517225,44644575,0.0239,0.56,5430688768,244596000,3115023872,91.96365,1.6590925493512836,124.05090909090909,124.10285714285715,46.694518934082495,-0.047863247863261904,-0.009572649572652381,-0.038290598290609525,127.68453954972891,123.87923001098633,120.07392047224376,64.59015424031924,63.66119263110997,-35.40984575968078,205.6067905414621,30.510184712645444,17.049781859102854,23.808187756905248,24661688.5,127.91,123.675,119.44,126.79289118265787,123.89866161356608,121.00443204447429,-0.0048324742268041065,0.13066909625088297
2025-05-23 06:00:00-04:00,2025-05-23,06:00:00,1747994400,123.59,124.3,123.55,123.98,49323377,0.0,0.0,85556088,2.593,2.299,0.4519097021803269,4.71743201033541,0.03857443220850594,0.11934711728151423,0.0032440525296147838,0.16129431894600152,0.10832393709036481,4.983074456393205,0.0900018054264989,248234453.24053937,2.301,6.494,151.7899,145.062,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,346700873728,0.47,0.22,796.389,111.3,134.8538,155.68,21.23,2178482332,317.17023,931205248,0.8001,2492320000,0.03638,0.55841,351791775744,570691008,570691008,570691008,1334548992,0.19917999,0.0,677.59094,64.84124,112.93389,0.18320999,103000.0,575048000.0,-12634000.0,-211157000.0,239219000.0,310403000.0,341990000.0,0.21,463364000.0,1141231000.0,2299517000.0,-340655000.0,,462190000.0,1153865000.0,1989114000.0,310403000.0,507878000.0,2865507000.0,1481236000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,2262909952,0.0218,51517225,44644575,0.0239,0.56,5430688768,244596000,3115023872,91.96365,1.6590925493512836,124.03801652892561,124.09115646258503,46.694518934082495,-0.051313219860219306,-0.017920763630165766,-0.03339245623005354,127.68453954972891,123.87923001098633,120.07392047224376,64.59015424031924,63.66119263110997,-35.40984575968078,205.6067905414621,30.510184712645444,17.049781859102854,23.808187756905248,24661688.5,127.91,123.675,119.44,126.79289118265787,123.89866161356608,121.00443204447429,0.003399158303658112,0.13066909625088297
2025-05-23 07:00:00-04:00,2025-05-23,07:00:00,1747998000,123.98,124.16,122.74,123.26,49323377,0.0,0.0,85556088,2.593,2.299,0.4519097021803269,4.71743201033541,0.03857443220850594,0.11934711728151423,0.0032440525296147838,0.16129431894600152,0.10832393709036481,4.983074456393205,0.0900018054264989,248234453.24053937,2.301,6.494,151.7899,145.062,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,346700873728,0.47,0.22,796.389,111.3,134.8538,155.68,21.23,2178482332,317.17023,931205248,0.8001,2492320000,0.03638,0.55841,351791775744,570691008,570691008,570691008,1334548992,0.19917999,0.0,677.59094,64.84124,112.93389,0.18320999,103000.0,575048000.0,-12634000.0,-211157000.0,239219000.0,310403000.0,341990000.0,0.21,463364000.0,1141231000.0,2299517000.0,-340655000.0,,462190000.0,1153865000.0,1989114000.0,310403000.0,507878000.0,2865507000.0,1481236000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,2262909952,0.0218,51517225,44644575,0.0239,0.56,5430688768,244596000,3115023872,91.96365,1.6590925493512836,123.89655897821186,124.01199870424361,46.694518934082495,-0.11086732077113481,-0.03651007505835958,-0.07435724571277524,127.68453954972891,123.87923001098633,120.07392047224376,64.59015424031924,63.66119263110997,-35.40984575968078,205.6067905414621,30.510184712645444,17.049781859102854,23.808187756905248,24661688.5,127.91,123.675,119.44,126.79289118265787,123.89866161356608,121.00443204447429,-0.005807388288433635,0.13066909625088297
2025-05-23 08:00:00-04:00,2025-05-23,08:00:00,1748001600,123.31,124.4664,119.44,120.3,49323377,0.0,0.0,85556088,2.593,2.299,0.4519097021803269,4.71743201033541,0.03857443220850594,0.11934711728151423,0.0032440525296147838,0.16129431894600152,0.10832393709036481,4.983074456393205,0.0900018054264989,248234453.24053937,2.301,6.494,151.7899,145.062,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,346700873728,0.47,0.22,796.389,111.3,134.8538,155.68,21.23,2178482332,317.17023,931205248,0.8001,2492320000,0.03638,0.55841,351791775744,570691008,570691008,570691008,1334548992,0.19917999,0.0,677.59094,64.84124,112.93389,0.18320999,103000.0,575048000.0,-12634000.0,-211157000.0,239219000.0,310403000.0,341990000.0,0.21,463364000.0,1141231000.0,2299517000.0,-340655000.0,,462190000.0,1153865000.0,1989114000.0,310403000.0,507878000.0,2865507000.0,1481236000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,2262909952,0.0218,51517225,44644575,0.0239,0.56,5430688768,244596000,3115023872,91.96365,1.6590925493512836,123.24263916399151,123.65847501812517,46.694518934082495,-0.3923884275159111,-0.10768574554986989,-0.2847026819660412,127.68453954972891,123.87923001098633,120.07392047224376,64.59015424031924,63.66119263110997,-35.40984575968078,205.6067905414621,30.510184712645444,17.049781859102854,23.808187756905248,24661688.5,127.91,123.675,119.44,126.79289118265787,123.89866161356608,121.00443204447429,-0.02401427876034401,0.13066909625088297
2025-05-23 09:00:00-04:00,2025-05-23,09:00:00,1748005200,120.3,122.29,119.62,120.9,49323377,0.0,0.0,85556088,2.593,2.299,0.4519097021803269,4.71743201033541,0.03857443220850594,0.11934711728151423,0.0032440525296147838,0.16129431894600152,0.10832393709036481,4.983074456393205,0.0900018054264989,248234453.24053937,2.301,6.494,151.7899,145.062,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,346700873728,0.47,0.22,796.389,111.3,134.8538,155.68,21.23,2178482332,317.17023,931205248,0.8001,2492320000,0.03638,0.55841,351791775744,570691008,570691008,570691008,1334548992,0.19917999,0.0,677.59094,64.84124,112.93389,0.18320999,103000.0,575048000.0,-12634000.0,-211157000.0,239219000.0,310403000.0,341990000.0,0.21,463364000.0,1141231000.0,2299517000.0,-340655000.0,,462190000.0,1153865000.0,1989114000.0,310403000.0,507878000.0,2865507000.0,1481236000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,2262909952,0.0218,51517225,44644575,0.0239,0.56,5430688768,244596000,3115023872,91.96365,1.6590925493512836,122.81670477053851,123.39576311163707,46.694518934082495,-0.5606184863328565,-0.1982722937064672,-0.3623461926263893,127.68453954972891,123.87923001098633,120.07392047224376,64.59015424031924,63.66119263110997,-35.40984575968078,205.6067905414621,30.510184712645444,17.049781859102854,23.808187756905248,24661688.5,127.91,123.675,119.44,126.79289118265787,123.89866161356608,121.00443204447429,0.004987531172069959,0.13066909625088297
2025-05-23 09:30:00-04:00,2025-05-23,09:30:00,1748007000,120.91000366210938,123.68000030517578,120.69000244140625,123.07769775390625,49323377,0.0,0.0,85556088,2.593,2.299,0.4519097021803269,4.71743201033541,0.03857443220850594,0.11934711728151423,0.0032440525296147838,0.16129431894600152,0.10832393709036481,4.983074456393205,0.0900018054264989,248234453.24053937,2.301,6.494,151.7899,145.062,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,346700873728,0.47,0.22,796.389,111.3,134.8538,155.68,21.23,2178482332,317.17023,931205248,0.8001,2492320000,0.03638,0.55841,351791775744,570691008,570691008,570691008,1334548992,0.19917999,0.0,677.59094,64.84124,112.93389,0.18320999,103000.0,575048000.0,-12634000.0,-211157000.0,239219000.0,310403000.0,341990000.0,0.21,463364000.0,1141231000.0,2299517000.0,-340655000.0,,462190000.0,1153865000.0,1989114000.0,310403000.0,507878000.0,2865507000.0,1481236000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,2262909952,0.0218,51517225,44644575,0.0239,0.56,5430688768,244596000,3115023872,91.96365,1.6590925493512836,122.86415804024172,123.36547117280556,46.694518934082495,-0.5123143698654786,-0.2610807089382695,-0.2512336609272091,127.68453954972891,123.87923001098633,120.07392047224376,64.59015424031924,63.66119263110997,-35.40984575968078,205.6067905414621,30.510184712645444,17.049781859102854,23.808187756905248,24661688.5,127.91,123.675,119.44,126.79289118265787,123.89866161356608,121.00443204447429,0.018012388369778698,0.13066909625088297
2025-05-23 10:30:00-04:00,2025-05-23,10:30:00,1748010600,123.08499908447266,123.55999755859375,122.16220092773438,122.62000274658203,49323377,0.0,0.0,85556088,2.593,2.299,0.4519097021803269,4.71743201033541,0.03857443220850594,0.11934711728151423,0.0032440525296147838,0.16129431894600152,0.10832393709036481,4.983074456393205,0.0900018054264989,248234453.24053937,2.301,6.494,151.7899,145.062,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,346700873728,0.47,0.22,796.389,111.3,134.8538,155.68,21.23,2178482332,317.17023,931205248,0.8001,2492320000,0.03638,0.55841,351791775744,570691008,570691008,570691008,1334548992,0.19917999,0.0,677.59094,64.84124,112.93389,0.18320999,103000.0,575048000.0,-12634000.0,-211157000.0,239219000.0,310403000.0,341990000.0,0.21,463364000.0,1141231000.0,2299517000.0,-340655000.0,,462190000.0,1153865000.0,1989114000.0,310403000.0,507878000.0,2865507000.0,1481236000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,2262909952,0.0218,51517225,44644575,0.0239,0.56,5430688768,244596000,3115023872,91.96365,1.6590925493512836,122.81976616866723,123.2944741798319,46.694518934082495,-0.505142206609321,-0.3098930084724798,-0.19524919813684116,127.68453954972891,123.87923001098633,120.07392047224376,64.59015424031924,63.66119263110997,-35.40984575968078,205.6067905414621,30.510184712645444,17.049781859102854,23.808187756905248,24661688.5,127.91,123.675,119.44,126.79289118265787,123.89866161356608,121.00443204447429,-0.0037187485277745402,0.13066909625088297
2025-05-23 11:30:00-04:00,2025-05-23,11:30:00,1748014200,122.62999725341797,123.08979797363281,122.25,122.62999725341797,49323377,0.0,0.0,85556088,2.593,2.299,0.4519097021803269,4.71743201033541,0.03857443220850594,0.11934711728151423,0.0032440525296147838,0.16129431894600152,0.10832393709036481,4.983074456393205,0.0900018054264989,248234453.24053937,2.301,6.494,151.7899,145.062,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,346700873728,0.47,0.22,796.389,111.3,134.8538,155.68,21.23,2178482332,317.17023,931205248,0.8001,2492320000,0.03638,0.55841,351791775744,570691008,570691008,570691008,1334548992,0.19917999,0.0,677.59094,64.84124,112.93389,0.18320999,103000.0,575048000.0,-12634000.0,-211157000.0,239219000.0,310403000.0,341990000.0,0.21,463364000.0,1141231000.0,2299517000.0,-340655000.0,,462190000.0,1153865000.0,1989114000.0,310403000.0,507878000.0,2865507000.0,1481236000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,2262909952,0.0218,51517225,44644575,0.0239,0.56,5430688768,244596000,3115023872,91.96365,1.6590925493512836,122.78526272953098,123.23119066303057,46.694518934082495,-0.4929691014432507,-0.346508227066634,-0.1464608743766167,127.68453954972891,123.87923001098633,120.07392047224376,64.59015424031924,63.66119263110997,-35.40984575968078,205.6067905414621,30.510184712645444,17.049781859102854,23.808187756905248,24661688.5,127.91,123.675,119.44,126.79289118265787,123.89866161356608,121.00443204447429,8.150796454131637e-05,0.13066909625088297
2025-05-23 12:30:00-04:00,2025-05-23,12:30:00,1748017800,122.5801010131836,124.93000030517578,122.29669952392578,124.88159942626953,49323377,0.0,0.0,85556088,2.593,2.299,0.4519097021803269,4.71743201033541,0.03857443220850594,0.11934711728151423,0.0032440525296147838,0.16129431894600152,0.10832393709036481,4.983074456393205,0.0900018054264989,248234453.24053937,2.301,6.494,151.7899,145.062,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,346700873728,0.47,0.22,796.389,111.3,134.8538,155.68,21.23,2178482332,317.17023,931205248,0.8001,2492320000,0.03638,0.55841,351791775744,570691008,570691008,570691008,1334548992,0.19917999,0.0,677.59094,64.84124,112.93389,0.18320999,103000.0,575048000.0,-12634000.0,-211157000.0,239219000.0,310403000.0,341990000.0,0.21,463364000.0,1141231000.0,2299517000.0,-340655000.0,,462190000.0,1153865000.0,1989114000.0,310403000.0,507878000.0,2865507000.0,1481236000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,2262909952,0.0218,51517225,44644575,0.0239,0.56,5430688768,244596000,3115023872,91.96365,1.6590925493512836,123.16641485621072,123.3883724500057,46.694518934082495,-0.2981988986903161,-0.3368463613913704,0.03864746270105429,127.68453954972891,123.87923001098633,120.07392047224376,64.59015424031924,63.66119263110997,-35.40984575968078,205.6067905414621,30.510184712645444,17.049781859102854,23.808187756905248,24661688.5,127.91,123.675,119.44,126.79289118265787,123.89866161356608,121.00443204447429,0.018360941232010042,0.13066909625088297
