,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,pe_ratio,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2023-07-24 00:00:00-04:00,2023-07-24,00:00:00,1690171200,36.147775245157064,36.409244402355284,36.054395693287276,36.390567779541016,6165236,0.0,0.0,0.0,5419649,42.785,42.125,9.75,3.34,41.6144,45.58,35.76,0.375,36.79127,41.98905,,36.390567779541016,36.390567779541016,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2023-07-25 00:00:00-04:00,2023-07-25,00:00:00,1690257600,36.334538241670096,36.51196081671751,36.110422328061404,36.1197624206543,6165236,0.0,0.0,0.0,5419649,42.785,42.125,9.75,3.34,41.6144,45.58,35.76,0.375,36.79127,41.98905,,36.34133044156161,36.36477679298038,,-0.021602706691815854,-0.004320541338363171,-0.017282165353452682,,,,,,,,,,,,,,,,,,-0.007441635990053652,
2,2023-07-26 00:00:00-04:00,2023-07-26,00:00:00,1690344000,36.04505282302371,36.32519858144721,36.03571629343686,36.250492095947266,6165236,0.0,0.0,0.0,5419649,42.785,42.125,9.75,3.34,41.6144,45.58,35.76,0.375,36.79127,41.98905,,36.324814378722635,36.353892536120085,,-0.0278531414646892,-0.009027061363628377,-0.018826080101060825,,,,,,,,,,,,,,,,,,0.0036193392905101707,
3,2023-07-27 00:00:00-04:00,2023-07-27,00:00:00,1690430400,36.51195713907471,36.60534024458971,35.47543138436748,35.48476791381836,6165236,0.0,0.0,0.0,5419649,42.785,42.125,9.75,3.34,41.6144,45.58,35.76,0.375,36.79127,41.98905,,36.172078657830944,36.27111876256754,,-0.09351620156809304,-0.025924889404521312,-0.06759131216357173,,,,,,,,,,,,,,,,,,-0.021123138966009036,
4,2023-07-28 00:00:00-04:00,2023-07-28,00:00:00,1690516800,35.89564419177972,36.007703922457026,35.34469631698777,35.382049560546875,6165236,0.0,0.0,0.0,5419649,42.785,42.125,9.75,3.34,41.6144,45.58,35.76,0.375,36.79127,41.98905,,36.028437003779295,36.18644550523224,,-0.15208996400046004,-0.051157904323709064,-0.10093205967675098,,,,,,,,,,,,,,,,,,-0.0028947167844229904,
5,2023-07-31 00:00:00-04:00,2023-07-31,00:00:00,1690776000,35.4847669313781,35.82560902321905,35.3867173449529,35.66218948364258,6165236,0.0,0.0,0.0,5419649,42.785,42.125,9.75,3.34,41.6144,45.58,35.76,0.375,36.79127,41.98905,,35.96184654557262,36.13651636031894,,-0.17390052515779075,-0.0757064284905254,-0.09819409666726535,,,,,,,,,,,,,,,,,,0.007917571948914848,
6,2023-08-01 00:00:00-04:00,2023-08-01,00:00:00,1690862400,35.56880768330014,35.74156374109416,35.44741143830433,35.59682083129883,6165236,0.0,0.0,0.0,5419649,42.785,42.125,9.75,3.34,41.6144,45.58,35.76,0.375,36.79127,41.98905,,35.89547823388647,36.085116786126555,,-0.1942213926314551,-0.09940942131871135,-0.09481197131274376,,,,,,,,,,,,,,,,,,-0.001832996046799984,
7,2023-08-02 00:00:00-04:00,2023-08-02,00:00:00,1690948800,35.38204800593767,35.51278079044905,35.218632025298454,35.44741439819336,6165236,0.0,0.0,0.0,5419649,42.785,42.125,9.75,3.34,41.6144,45.58,35.76,0.375,36.79127,41.98905,,35.814012081942266,36.02438322537102,,-0.21984741289267618,-0.12349701963350432,-0.09635039325917186,,,,,,,,,,,,,,,,,,-0.004197184737747772,
8,2023-08-03 00:00:00-04:00,2023-08-03,00:00:00,1691035200,35.027204169838335,35.06455741691519,34.475322946313995,34.96183776855469,6165236,0.0,0.0,0.0,5419649,42.785,42.125,9.75,3.34,41.6144,45.58,35.76,0.375,36.79127,41.98905,,35.65907129768998,35.923188419959935,,-0.27615485320648503,-0.15402858634810046,-0.12212626685838457,,,,,,,,,,,,,,,,,,-0.01369850630525593,
9,2023-08-04 00:00:00-04:00,2023-08-04,00:00:00,1691121600,34.80308419603516,35.17473930517828,34.508935454625515,34.6163215637207,6165236,0.0,0.0,0.0,5419649,42.785,42.125,9.75,3.34,41.6144,45.58,35.76,0.375,36.79127,41.98905,,35.46948043696829,35.79872490984191,,-0.34468585152221465,-0.1921600393829233,-0.15252581213929134,,,,,,,,,,,,,,,,,,-0.009882667127548705,
