datetime,date,time,timestamp,open,high,low,close,volume,Dividends,Stock Splits,average_volume,beta,book_value,calculated_asset_turnover,calculated_cashflow_to_debt,calculated_debt_to_assets,calculated_ebitda_margin,calculated_fcf_yield,calculated_inventory_turnover,calculated_net_margin,calculated_operating_margin,calculated_receivables_turnover,calculated_roa,calculated_roe,cash_per_share,current_ratio,day_high,day_low,debt_to_equity,earnings_forward,earnings_growth,earnings_quarterly_growth,earnings_ttm,ebitda,ebitda_margin,enterprise_value,eps_forward,eps_ttm,ev_to_ebitda,ev_to_revenue,fifty_day_average,fifty_two_week_high,fifty_two_week_low,float_shares,forward_pe,free_cashflow,gross_margin,gross_profits,held_percent_insiders,held_percent_institutions,latest_split_ratio,market_cap,net_income,net_income_margin,net_income_ttm,operating_cashflow,operating_margin,payout_ratio,pe_ratio,price_to_book,price_to_sales,profit_margin,quarterly_accounts_payable,quarterly_accounts_receivable,quarterly_capital_expenditure,quarterly_change_in_inventory,quarterly_change_in_receivables,quarterly_debt,quarterly_depreciation,quarterly_ebit,quarterly_ebitda,quarterly_eps,quarterly_financing_cashflow,quarterly_free_cashflow,quarterly_goodwill,quarterly_gross_profit,quarterly_inventory,quarterly_investing_cashflow,quarterly_long_term_debt,quarterly_net_income,quarterly_operating_cashflow,quarterly_operating_expense,quarterly_operating_income,quarterly_research_development,quarterly_revenue,quarterly_selling_general_admin,quarterly_total_assets,quarterly_total_equity,quarterly_total_liabilities,quick_ratio,return_on_assets,return_on_equity,revenue_growth,revenue_per_share,shares_outstanding,shares_percent_shares_out,shares_short,shares_short_prior_month,short_percent_of_float,short_ratio,split_frequency,total_cash,total_debt,total_revenue,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
2023-01-03 00:00:00-05:00,2023-01-03,00:00:00,1672722000,118.47000122070312,118.80000305175781,104.63999938964844,108.0999984741211,76555278,0.0,0.0,109275434,2.398,23.184,0.8002785287130335,1.136730696374628,0.10754484712050463,0.1505578871941857,0.0033476268918450117,8.129316801198302,0.07298597604667827,0.07943494728221927,22.111815301041194,0.05002867050053248,263414415.4589372,11.486,1.996,335.4098,321.55,17.407,3.24,-0.707,-0.706,1.74,12549999616,0.13111,1034948902912,3.24,1.74,82.466,10.812,325.9268,488.54,182.0,2803165981,102.50308,3360000000,0.17662,16906999808,0.12892,0.49995998,3.0,1069712998400,6106999808,6106999808,6106999808,16837000192,0.0255,0.0,190.86781,14.324965,11.174972,0.063829996,12474000000.0,4418000000.0,-11342000000.0,937000000.0,-1083000000.0,13623000000.0,5368000000.0,9340000000.0,14708000000.0,2.23,3853000000.0,3581000000.0,244000000.0,17450000000.0,12017000000.0,-18787000000.0,5535000000.0,7130000000.0,14923000000.0,9690000000.0,7760000000.0,4540000000.0,97690000000.0,5150000000.0,122070000000.0,73680000000.0,48390000000.0,1.376,0.03724,0.087740004,-0.092,29.867,3220960000,0.0249,80074233,76998079,0.028499998,0.66,2,36996001792,13127999488,95724003328,318.5507,8.837856837681361,108.0999984741211,108.0999984741211,82.37964996261528,0.0,0.0,0.0,176.44595328601713,134.1959991455078,91.94604500499848,96.25888315628892,95.2622415183435,-3.7411168437110827,146.03051157086728,67.19482967636259,33.75089979749084,12.535367575522255,298565584.2,180.67999267578125,141.2449951171875,101.80999755859375,153.2558316548665,133.2898328145345,113.32383397420246,0.05124885285593783,0.634359868070502
2023-01-04 00:00:00-05:00,2023-01-04,00:00:00,1672808400,109.11000061035156,114.58999633789062,107.5199966430664,113.63999938964844,76555278,0.0,0.0,109275434,2.398,23.184,0.8002785287130335,1.136730696374628,0.10754484712050463,0.1505578871941857,0.0033476268918450117,8.129316801198302,0.07298597604667827,0.07943494728221927,22.111815301041194,0.05002867050053248,263414415.4589372,11.486,1.996,335.4098,321.55,17.407,3.24,-0.707,-0.706,1.74,12549999616,0.13111,1034948902912,3.24,1.74,82.466,10.812,325.9268,488.54,182.0,2803165981,102.50308,3360000000,0.17662,16906999808,0.12892,0.49995998,3.0,1069712998400,6106999808,6106999808,6106999808,16837000192,0.0255,0.0,190.86781,14.324965,11.174972,0.063829996,12474000000.0,4418000000.0,-11342000000.0,937000000.0,-1083000000.0,13623000000.0,5368000000.0,9340000000.0,14708000000.0,2.23,3853000000.0,3581000000.0,244000000.0,17450000000.0,12017000000.0,-18787000000.0,5535000000.0,7130000000.0,14923000000.0,9690000000.0,7760000000.0,4540000000.0,97690000000.0,5150000000.0,122070000000.0,73680000000.0,48390000000.0,1.376,0.03724,0.087740004,-0.092,29.867,3220960000,0.0249,80074233,76998079,0.028499998,0.66,2,36996001792,13127999488,95724003328,318.5507,8.837856837681361,109.10727136785333,108.62761760893322,82.37964996261528,0.44193739497083584,0.08838747899416717,0.3535499159766687,176.44595328601713,134.1959991455078,91.94604500499848,96.25888315628892,95.2622415183435,-3.7411168437110827,146.03051157086728,67.19482967636259,33.75089979749084,12.535367575522255,298565584.2,180.67999267578125,141.2449951171875,101.80999755859375,153.2558316548665,133.2898328145345,113.32383397420246,0.05124885285593783,0.634359868070502
2023-01-05 00:00:00-05:00,2023-01-05,00:00:00,1672894800,110.51000213623047,111.75,107.16000366210938,110.33999633789062,76555278,0.0,0.0,109275434,2.398,23.184,0.8002785287130335,1.136730696374628,0.10754484712050463,0.1505578871941857,0.0033476268918450117,8.129316801198302,0.07298597604667827,0.07943494728221927,22.111815301041194,0.05002867050053248,263414415.4589372,11.486,1.996,335.4098,321.55,17.407,3.24,-0.707,-0.706,1.74,12549999616,0.13111,1034948902912,3.24,1.74,82.466,10.812,325.9268,488.54,182.0,2803165981,102.50308,3360000000,0.17662,16906999808,0.12892,0.49995998,3.0,1069712998400,6106999808,6106999808,6106999808,16837000192,0.0255,0.0,190.86781,14.324965,11.174972,0.063829996,12474000000.0,4418000000.0,-11342000000.0,937000000.0,-1083000000.0,13623000000.0,5368000000.0,9340000000.0,14708000000.0,2.23,3853000000.0,3581000000.0,244000000.0,17450000000.0,12017000000.0,-18787000000.0,5535000000.0,7130000000.0,14923000000.0,9690000000.0,7760000000.0,4540000000.0,97690000000.0,5150000000.0,122070000000.0,73680000000.0,48390000000.0,1.376,0.03724,0.087740004,-0.092,29.867,3220960000,0.0249,80074233,76998079,0.028499998,0.66,2,36996001792,13127999488,95724003328,318.5507,8.837856837681361,109.33140318058737,108.79070129740536,82.37964996261528,0.5199002114605236,0.17469002548743845,0.3452101859730851,176.44595328601713,134.1959991455078,91.94604500499848,96.25888315628892,95.2622415183435,-3.7411168437110827,146.03051157086728,67.19482967636259,33.75089979749084,12.535367575522255,298565584.2,180.67999267578125,141.2449951171875,101.80999755859375,153.2558316548665,133.2898328145345,113.32383397420246,-0.029039097760312105,0.634359868070502
2023-01-06 00:00:00-05:00,2023-01-06,00:00:00,1672981200,103.0,114.38999938964844,101.80999755859375,113.05999755859375,76555278,0.0,0.0,109275434,2.398,23.184,0.8002785287130335,1.136730696374628,0.10754484712050463,0.1505578871941857,0.0033476268918450117,8.129316801198302,0.07298597604667827,0.07943494728221927,22.111815301041194,0.05002867050053248,263414415.4589372,11.486,1.996,335.4098,321.55,17.407,3.24,-0.707,-0.706,1.74,12549999616,0.13111,1034948902912,3.24,1.74,82.466,10.812,325.9268,488.54,182.0,2803165981,102.50308,3360000000,0.17662,16906999808,0.12892,0.49995998,3.0,1069712998400,6106999808,6106999808,6106999808,16837000192,0.0255,0.0,190.86781,14.324965,11.174972,0.063829996,12474000000.0,4418000000.0,-11342000000.0,937000000.0,-1083000000.0,13623000000.0,5368000000.0,9340000000.0,14708000000.0,2.23,3853000000.0,3581000000.0,244000000.0,17450000000.0,12017000000.0,-18787000000.0,5535000000.0,7130000000.0,14923000000.0,9690000000.0,7760000000.0,4540000000.0,97690000000.0,5150000000.0,122070000000.0,73680000000.0,48390000000.0,1.376,0.03724,0.087740004,-0.092,29.867,3220960000,0.0249,80074233,76998079,0.028499998,0.66,2,36996001792,13127999488,95724003328,318.5507,8.837856837681361,110.00932943113398,109.19730094132807,82.37964996261528,0.7920375558152557,0.2981595315530019,0.4938780242622538,176.44595328601713,134.1959991455078,91.94604500499848,96.25888315628892,95.2622415183435,-3.7411168437110827,146.03051157086728,67.19482967636259,33.75089979749084,12.535367575522255,298565584.2,180.67999267578125,141.2449951171875,101.80999755859375,153.2558316548665,133.2898328145345,113.32383397420246,0.024651090365942707,0.634359868070502
2023-01-09 00:00:00-05:00,2023-01-09,00:00:00,1673240400,118.95999908447266,123.5199966430664,117.11000061035156,119.7699966430664,76555278,0.0,0.0,109275434,2.398,23.184,0.8002785287130335,1.136730696374628,0.10754484712050463,0.1505578871941857,0.0033476268918450117,8.129316801198302,0.07298597604667827,0.07943494728221927,22.111815301041194,0.05002867050053248,263414415.4589372,11.486,1.996,335.4098,321.55,17.407,3.24,-0.707,-0.706,1.74,12549999616,0.13111,1034948902912,3.24,1.74,82.466,10.812,325.9268,488.54,182.0,2803165981,102.50308,3360000000,0.17662,16906999808,0.12892,0.49995998,3.0,1069712998400,6106999808,6106999808,6106999808,16837000192,0.0255,0.0,190.86781,14.324965,11.174972,0.063829996,12474000000.0,4418000000.0,-11342000000.0,937000000.0,-1083000000.0,13623000000.0,5368000000.0,9340000000.0,14708000000.0,2.23,3853000000.0,3581000000.0,244000000.0,17450000000.0,12017000000.0,-18787000000.0,5535000000.0,7130000000.0,14923000000.0,9690000000.0,7760000000.0,4540000000.0,97690000000.0,5150000000.0,122070000000.0,73680000000.0,48390000000.0,1.376,0.03724,0.087740004,-0.092,29.867,3220960000,0.0249,80074233,76998079,0.028499998,0.66,2,36996001792,13127999488,95724003328,318.5507,8.837856837681361,111.78399619693987,110.20422434149361,82.37964996261528,1.5314950881215879,0.5448266428667191,0.9866684452548687,176.44595328601713,134.1959991455078,91.94604500499848,96.25888315628892,95.2622415183435,-3.7411168437110827,146.03051157086728,67.19482967636259,33.75089979749084,12.535367575522255,298565584.2,180.67999267578125,141.2449951171875,101.80999755859375,153.2558316548665,133.2898328145345,113.32383397420246,0.059349011404278285,0.634359868070502
2023-01-10 00:00:00-05:00,2023-01-10,00:00:00,1673326800,121.06999969482422,122.76000213623047,114.91999816894531,118.8499984741211,76555278,0.0,0.0,109275434,2.398,23.184,0.8002785287130335,1.136730696374628,0.10754484712050463,0.1505578871941857,0.0033476268918450117,8.129316801198302,0.07298597604667827,0.07943494728221927,22.111815301041194,0.05002867050053248,263414415.4589372,11.486,1.996,335.4098,321.55,17.407,3.24,-0.707,-0.706,1.74,12549999616,0.13111,1034948902912,3.24,1.74,82.466,10.812,325.9268,488.54,182.0,2803165981,102.50308,3360000000,0.17662,16906999808,0.12892,0.49995998,3.0,1069712998400,6106999808,6106999808,6106999808,16837000192,0.0255,0.0,190.86781,14.324965,11.174972,0.063829996,12474000000.0,4418000000.0,-11342000000.0,937000000.0,-1083000000.0,13623000000.0,5368000000.0,9340000000.0,14708000000.0,2.23,3853000000.0,3581000000.0,244000000.0,17450000000.0,12017000000.0,-18787000000.0,5535000000.0,7130000000.0,14923000000.0,9690000000.0,7760000000.0,4540000000.0,97690000000.0,5150000000.0,122070000000.0,73680000000.0,48390000000.0,1.376,0.03724,0.087740004,-0.092,29.867,3220960000,0.0249,80074233,76998079,0.028499998,0.66,2,36996001792,13127999488,95724003328,318.5507,8.837856837681361,113.06872388370007,111.02763140174385,82.37964996261528,2.01999905479191,0.8398611252517574,1.1801379295401526,176.44595328601713,134.1959991455078,91.94604500499848,96.25888315628892,95.2622415183435,-3.7411168437110827,146.03051157086728,67.19482967636259,33.75089979749084,12.535367575522255,298565584.2,180.67999267578125,141.2449951171875,101.80999755859375,153.2558316548665,133.2898328145345,113.32383397420246,-0.007681374256751861,0.634359868070502
2023-01-11 00:00:00-05:00,2023-01-11,00:00:00,1673413200,122.08999633789062,125.94999694824219,120.51000213623047,123.22000122070312,76555278,0.0,0.0,109275434,2.398,23.184,0.8002785287130335,1.136730696374628,0.10754484712050463,0.1505578871941857,0.0033476268918450117,8.129316801198302,0.07298597604667827,0.07943494728221927,22.111815301041194,0.05002867050053248,263414415.4589372,11.486,1.996,335.4098,321.55,17.407,3.24,-0.707,-0.706,1.74,12549999616,0.13111,1034948902912,3.24,1.74,82.466,10.812,325.9268,488.54,182.0,2803165981,102.50308,3360000000,0.17662,16906999808,0.12892,0.49995998,3.0,1069712998400,6106999808,6106999808,6106999808,16837000192,0.0255,0.0,190.86781,14.324965,11.174972,0.063829996,12474000000.0,4418000000.0,-11342000000.0,937000000.0,-1083000000.0,13623000000.0,5368000000.0,9340000000.0,14708000000.0,2.23,3853000000.0,3581000000.0,244000000.0,17450000000.0,12017000000.0,-18787000000.0,5535000000.0,7130000000.0,14923000000.0,9690000000.0,7760000000.0,4540000000.0,97690000000.0,5150000000.0,122070000000.0,73680000000.0,48390000000.0,1.376,0.03724,0.087740004,-0.092,29.867,3220960000,0.0249,80074233,76998079,0.028499998,0.66,2,36996001792,13127999488,95724003328,318.5507,8.837856837681361,114.91441067224608,112.18880947973997,82.37964996261528,2.7283143582661893,1.2175517718546438,1.5107625864115455,176.44595328601713,134.1959991455078,91.94604500499848,96.25888315628892,95.2622415183435,-3.7411168437110827,146.03051157086728,67.19482967636259,33.75089979749084,12.535367575522255,298565584.2,180.67999267578125,141.2449951171875,101.80999755859375,153.2558316548665,133.2898328145345,113.32383397420246,0.036769060182475055,0.634359868070502
2023-01-12 00:00:00-05:00,2023-01-12,00:00:00,1673499600,122.55999755859375,124.12999725341797,117.0,123.55999755859375,76555278,0.0,0.0,109275434,2.398,23.184,0.8002785287130335,1.136730696374628,0.10754484712050463,0.1505578871941857,0.0033476268918450117,8.129316801198302,0.07298597604667827,0.07943494728221927,22.111815301041194,0.05002867050053248,263414415.4589372,11.486,1.996,335.4098,321.55,17.407,3.24,-0.707,-0.706,1.74,12549999616,0.13111,1034948902912,3.24,1.74,82.466,10.812,325.9268,488.54,182.0,2803165981,102.50308,3360000000,0.17662,16906999808,0.12892,0.49995998,3.0,1069712998400,6106999808,6106999808,6106999808,16837000192,0.0255,0.0,190.86781,14.324965,11.174972,0.063829996,12474000000.0,4418000000.0,-11342000000.0,937000000.0,-1083000000.0,13623000000.0,5368000000.0,9340000000.0,14708000000.0,2.23,3853000000.0,3581000000.0,244000000.0,17450000000.0,12017000000.0,-18787000000.0,5535000000.0,7130000000.0,14923000000.0,9690000000.0,7760000000.0,4540000000.0,97690000000.0,5150000000.0,122070000000.0,73680000000.0,48390000000.0,1.376,0.03724,0.087740004,-0.092,29.867,3220960000,0.0249,80074233,76998079,0.028499998,0.66,2,36996001792,13127999488,95724003328,318.5507,8.837856837681361,116.48633556067293,113.27177977296415,82.37964996261528,3.2792925590732978,1.6298999292983747,1.649392629774923,176.44595328601713,134.1959991455078,91.94604500499848,96.25888315628892,95.2622415183435,-3.7411168437110827,146.03051157086728,67.19482967636259,33.75089979749084,12.535367575522255,298565584.2,180.67999267578125,141.2449951171875,101.80999755859375,153.2558316548665,133.2898328145345,113.32383397420246,0.0027592625752506095,0.634359868070502
2023-01-13 00:00:00-05:00,2023-01-13,00:00:00,1673586000,116.55000305175781,122.62999725341797,115.5999984741211,122.4000015258789,76555278,0.0,0.0,109275434,2.398,23.184,0.8002785287130335,1.136730696374628,0.10754484712050463,0.1505578871941857,0.0033476268918450117,8.129316801198302,0.07298597604667827,0.07943494728221927,22.111815301041194,0.05002867050053248,263414415.4589372,11.486,1.996,335.4098,321.55,17.407,3.24,-0.707,-0.706,1.74,12549999616,0.13111,1034948902912,3.24,1.74,82.466,10.812,325.9268,488.54,182.0,2803165981,102.50308,3360000000,0.17662,16906999808,0.12892,0.49995998,3.0,1069712998400,6106999808,6106999808,6106999808,16837000192,0.0255,0.0,190.86781,14.324965,11.174972,0.063829996,12474000000.0,4418000000.0,-11342000000.0,937000000.0,-1083000000.0,13623000000.0,5368000000.0,9340000000.0,14708000000.0,2.23,3853000000.0,3581000000.0,244000000.0,17450000000.0,12017000000.0,-18787000000.0,5535000000.0,7130000000.0,14923000000.0,9690000000.0,7760000000.0,4540000000.0,97690000000.0,5150000000.0,122070000000.0,73680000000.0,48390000000.0,1.376,0.03724,0.087740004,-0.092,29.867,3220960000,0.0249,80074233,76998079,0.028499998,0.66,2,36996001792,13127999488,95724003328,318.5507,8.837856837681361,117.56154755434673,114.1411342256227,82.37964996261528,3.5810644851976576,2.0201328404782313,1.5609316447194264,176.44595328601713,134.1959991455078,91.94604500499848,96.25888315628892,95.2622415183435,-3.7411168437110827,146.03051157086728,67.19482967636259,33.75089979749084,12.535367575522255,298565584.2,180.67999267578125,141.2449951171875,101.80999755859375,153.2558316548665,133.2898328145345,113.32383397420246,-0.009388119582672827,0.634359868070502
2023-01-17 00:00:00-05:00,2023-01-17,00:00:00,1673931600,125.69999694824219,131.6999969482422,125.0199966430664,131.49000549316406,76555278,0.0,0.0,109275434,2.398,23.184,0.8002785287130335,1.136730696374628,0.10754484712050463,0.1505578871941857,0.0033476268918450117,8.129316801198302,0.07298597604667827,0.07943494728221927,22.111815301041194,0.05002867050053248,263414415.4589372,11.486,1.996,335.4098,321.55,17.407,3.24,-0.707,-0.706,1.74,12549999616,0.13111,1034948902912,3.24,1.74,82.466,10.812,325.9268,488.54,182.0,2803165981,102.50308,3360000000,0.17662,16906999808,0.12892,0.49995998,3.0,1069712998400,6106999808,6106999808,6106999808,16837000192,0.0255,0.0,190.86781,14.324965,11.174972,0.063829996,12474000000.0,4418000000.0,-11342000000.0,937000000.0,-1083000000.0,13623000000.0,5368000000.0,9340000000.0,14708000000.0,2.23,3853000000.0,3581000000.0,244000000.0,17450000000.0,12017000000.0,-18787000000.0,5535000000.0,7130000000.0,14923000000.0,9690000000.0,7760000000.0,4540000000.0,97690000000.0,5150000000.0,122070000000.0,73680000000.0,48390000000.0,1.376,0.03724,0.087740004,-0.092,29.867,3220960000,0.0249,80074233,76998079,0.028499998,0.66,2,36996001792,13127999488,95724003328,318.5507,8.837856837681361,120.09399445231351,115.79340767967425,82.37964996261528,4.501814151372557,2.5164691026570964,1.9853450487154602,176.44595328601713,134.1959991455078,91.94604500499848,96.25888315628892,95.2622415183435,-3.7411168437110827,146.03051157086728,67.19482967636259,33.75089979749084,12.535367575522255,298565584.2,180.67999267578125,141.2449951171875,101.80999755859375,153.2558316548665,133.2898328145345,113.32383397420246,0.07426473736900463,0.634359868070502
