datetime,date,time,timestamp,open,high,low,close,volume,Dividends,Stock Splits,beta,book_value,book_value_ttm,cash_per_share,cash_per_share_ttm,current_ratio,current_ratio_ttm,debt_to_equity,debt_to_equity_ttm,dividend_yield,earnings_forward,earnings_growth,earnings_quarterly_growth,earnings_ttm,ebitda,ebitda_margin,ebitda_margins,enterprise_value,ev_to_ebitda,float_shares,forward_pe,free_cashflow,free_cashflow_ttm,gross_margins,gross_profits,held_percent_insiders,held_percent_institutions,market_cap,net_income,operating_cashflow,operating_cashflow_ttm,operating_margin,operating_margins,payout_ratio,pe_ratio,price_to_book,price_to_sales,profit_margin,profit_margins,quarterly_debt,quarterly_ebitda,quarterly_eps,quarterly_net_income,quarterly_operating_income,quarterly_revenue,quarterly_total_assets,quarterly_total_equity,quarterly_total_liabilities,quick_ratio,return_on_assets,return_on_equity,revenue_growth,revenue_per_share,revenue_per_share_ttm,shares_outstanding,shares_percent_shares_out,shares_short,shares_short_prior_month,short_percent_of_float,short_ratio,total_cash,total_cash_ttm,total_debt,total_debt_ttm,total_revenue,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
2025-07-09 17:00:00-04:00,2025-07-09,17:00:00,1752094800,210.75,210.89,210.6,210.8,0,0.0,0.0,1.211,4.471,4.471,3.247,3.247,0.821,0.821,146.994,146.994,0.51,8.31,0.078,0.048,6.42,138865999872,0.34685,0.34685,3114071490560,22.425,14911480604,25.163656,97251500032,97251500032,0.46632,186699005952,0.02085,0.62835,3123225034752,97294000128,109555998720,109555998720,0.31028998,0.31028998,0.1558,32.57165,46.770294,7.8009243,0.24301,0.24301,106629000000.0,134661000000.0,6.11,93736000000.0,123216000000.0,391035000000.0,364980000000.0,56950000000.0,308030000000.0,0.68,0.23809999,1.38015,0.051,26.455,26.455,14935799808,0.0067000003,100226522,105169332,0.0067000003,1.91,48497999872,48497999872,98186002432,98186002432,400366010368,,210.8,210.8,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2025-07-09 18:00:00-04:00,2025-07-09,18:00:00,1752098400,210.79,210.89,210.66,210.8,0,0.0,0.0,1.211,4.471,4.471,3.247,3.247,0.821,0.821,146.994,146.994,0.51,8.31,0.078,0.048,6.42,138865999872,0.34685,0.34685,3114071490560,22.425,14911480604,25.163656,97251500032,97251500032,0.46632,186699005952,0.02085,0.62835,3123225034752,97294000128,109555998720,109555998720,0.31028998,0.31028998,0.1558,32.57165,46.770294,7.8009243,0.24301,0.24301,106629000000.0,134661000000.0,6.11,93736000000.0,123216000000.0,391035000000.0,364980000000.0,56950000000.0,308030000000.0,0.68,0.23809999,1.38015,0.051,26.455,26.455,14935799808,0.0067000003,100226522,105169332,0.0067000003,1.91,48497999872,48497999872,98186002432,98186002432,400366010368,,210.8,210.8,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,
2025-07-09 19:00:00-04:00,2025-07-09,19:00:00,1752102000,210.73,210.88,210.7,210.7,0,0.0,0.0,1.211,4.471,4.471,3.247,3.247,0.821,0.821,146.994,146.994,0.51,8.31,0.078,0.048,6.42,138865999872,0.34685,0.34685,3114071490560,22.425,14911480604,25.163656,97251500032,97251500032,0.46632,186699005952,0.02085,0.62835,3123225034752,97294000128,109555998720,109555998720,0.31028998,0.31028998,0.1558,32.57165,46.770294,7.8009243,0.24301,0.24301,106629000000.0,134661000000.0,6.11,93736000000.0,123216000000.0,391035000000.0,364980000000.0,56950000000.0,308030000000.0,0.68,0.23809999,1.38015,0.051,26.455,26.455,14935799808,0.0067000003,100226522,105169332,0.0067000003,1.91,48497999872,48497999872,98186002432,98186002432,400366010368,,210.7846153846154,210.7925925925926,,-0.00797720797720558,-0.001595441595441116,-0.006381766381764464,,,,,,,,,,,,,,,,,,-0.00047438330170790355,
2025-07-10 04:00:00-04:00,2025-07-10,04:00:00,1752134400,210.35,210.37,210.1,210.18,0,0.0,0.0,1.211,4.471,4.471,3.247,3.247,0.821,0.821,146.994,146.994,0.51,8.31,0.078,0.048,6.42,138865999872,0.34685,0.34685,3114071490560,22.425,14911480604,25.163656,97251500032,97251500032,0.46632,186699005952,0.02085,0.62835,3123225034752,97294000128,109555998720,109555998720,0.31028998,0.31028998,0.1558,32.57165,46.770294,7.8009243,0.24301,0.24301,106629000000.0,134661000000.0,6.11,93736000000.0,123216000000.0,391035000000.0,364980000000.0,56950000000.0,308030000000.0,0.68,0.23809999,1.38015,0.051,26.455,26.455,14935799808,0.0067000003,100226522,105169332,0.0067000003,1.91,48497999872,48497999872,98186002432,98186002432,400366010368,,210.6915976331361,210.74721536351166,,-0.05561773037555895,-0.012399899351464683,-0.043217831024094266,,,,,,,,,,,,,,,,,,-0.0024679639297578992,
2025-07-10 05:00:00-04:00,2025-07-10,05:00:00,1752138000,210.18,210.42,209.91,210.04,0,0.0,0.0,1.211,4.471,4.471,3.247,3.247,0.821,0.821,146.994,146.994,0.51,8.31,0.078,0.048,6.42,138865999872,0.34685,0.34685,3114071490560,22.425,14911480604,25.163656,97251500032,97251500032,0.46632,186699005952,0.02085,0.62835,3123225034752,97294000128,109555998720,109555998720,0.31028998,0.31028998,0.1558,32.57165,46.770294,7.8009243,0.24301,0.24301,106629000000.0,134661000000.0,6.11,93736000000.0,123216000000.0,391035000000.0,364980000000.0,56950000000.0,308030000000.0,0.68,0.23809999,1.38015,0.051,26.455,26.455,14935799808,0.0067000003,100226522,105169332,0.0067000003,1.91,48497999872,48497999872,98186002432,98186002432,400366010368,,210.59135184342284,210.69482904028857,,-0.10347719686572532,-0.030615358854316814,-0.0728618380114085,,,,,,,,,,,,,,,,,,-0.0006660957274717827,
2025-07-10 06:00:00-04:00,2025-07-10,06:00:00,1752141600,210.11,210.11,209.62,209.85,0,0.0,0.0,1.211,4.471,4.471,3.247,3.247,0.821,0.821,146.994,146.994,0.51,8.31,0.078,0.048,6.42,138865999872,0.34685,0.34685,3114071490560,22.425,14911480604,25.163656,97251500032,97251500032,0.46632,186699005952,0.02085,0.62835,3123225034752,97294000128,109555998720,109555998720,0.31028998,0.31028998,0.1558,32.57165,46.770294,7.8009243,0.24301,0.24301,106629000000.0,134661000000.0,6.11,93736000000.0,123216000000.0,391035000000.0,364980000000.0,56950000000.0,308030000000.0,0.68,0.23809999,1.38015,0.051,26.455,26.455,14935799808,0.0067000003,100226522,105169332,0.0067000003,1.91,48497999872,48497999872,98186002432,98186002432,400366010368,,210.47729771366548,210.63224911137831,,-0.15495139771283561,-0.05548256662602058,-0.09946883108681503,,,,,,,,,,,,,,,,,,-0.0009045896019805877,
2025-07-10 07:00:00-04:00,2025-07-10,07:00:00,1752145200,209.85,210.14,209.77,210.02,0,0.0,0.0,1.211,4.471,4.471,3.247,3.247,0.821,0.821,146.994,146.994,0.51,8.31,0.078,0.048,6.42,138865999872,0.34685,0.34685,3114071490560,22.425,14911480604,25.163656,97251500032,97251500032,0.46632,186699005952,0.02085,0.62835,3123225034752,97294000128,109555998720,109555998720,0.31028998,0.31028998,0.1558,32.57165,46.770294,7.8009243,0.24301,0.24301,106629000000.0,134661000000.0,6.11,93736000000.0,123216000000.0,391035000000.0,364980000000.0,56950000000.0,308030000000.0,0.68,0.23809999,1.38015,0.051,26.455,26.455,14935799808,0.0067000003,100226522,105169332,0.0067000003,1.91,48497999872,48497999872,98186002432,98186002432,400366010368,,210.40694421925542,210.5868973253503,,-0.17995310609487092,-0.08037667451979065,-0.09957643157508027,,,,,,,,,,,,,,,,,,0.0008101024541340429,
2025-07-10 08:00:00-04:00,2025-07-10,08:00:00,1752148800,210.09,211.14,209.6155,210.18,0,0.0,0.0,1.211,4.471,4.471,3.247,3.247,0.821,0.821,146.994,146.994,0.51,8.31,0.078,0.048,6.42,138865999872,0.34685,0.34685,3114071490560,22.425,14911480604,25.163656,97251500032,97251500032,0.46632,186699005952,0.02085,0.62835,3123225034752,97294000128,109555998720,109555998720,0.31028998,0.31028998,0.1558,32.57165,46.770294,7.8009243,0.24301,0.24301,106629000000.0,134661000000.0,6.11,93736000000.0,123216000000.0,391035000000.0,364980000000.0,56950000000.0,308030000000.0,0.68,0.23809999,1.38015,0.051,26.455,26.455,14935799808,0.0067000003,100226522,105169332,0.0067000003,1.91,48497999872,48497999872,98186002432,98186002432,400366010368,,210.37202972398535,210.55675678273175,,-0.18472705874640383,-0.1012467513651133,-0.08348030738129053,,,,,,,,,,,,,,,,,,0.0007618322064564254,
2025-07-10 09:00:00-04:00,2025-07-10,09:00:00,1752152400,210.07,211.14,209.8,210.47,0,0.0,0.0,1.211,4.471,4.471,3.247,3.247,0.821,0.821,146.994,146.994,0.51,8.31,0.078,0.048,6.42,138865999872,0.34685,0.34685,3114071490560,22.425,14911480604,25.163656,97251500032,97251500032,0.46632,186699005952,0.02085,0.62835,3123225034752,97294000128,109555998720,109555998720,0.31028998,0.31028998,0.1558,32.57165,46.770294,7.8009243,0.24301,0.24301,106629000000.0,134661000000.0,6.11,93736000000.0,123216000000.0,391035000000.0,364980000000.0,56950000000.0,308030000000.0,0.68,0.23809999,1.38015,0.051,26.455,26.455,14935799808,0.0067000003,100226522,105169332,0.0067000003,1.91,48497999872,48497999872,98186002432,98186002432,400366010368,,210.38710207414144,210.55033035438126,,-0.16322828023982083,-0.1136430571400548,-0.049585223099766026,,,,,,,,,,,,,,,,,,0.0013797697211912485,
2025-07-10 09:30:00-04:00,2025-07-10,09:30:00,1752154200,210.5050048828125,212.29989624023438,210.1199951171875,212.00999450683594,9591288,0.0,0.0,1.211,4.471,4.471,3.247,3.247,0.821,0.821,146.994,146.994,0.51,8.31,0.078,0.048,6.42,138865999872,0.34685,0.34685,3114071490560,22.425,14911480604,25.163656,97251500032,97251500032,0.46632,186699005952,0.02085,0.62835,3123225034752,97294000128,109555998720,109555998720,0.31028998,0.31028998,0.1558,32.57165,46.770294,7.8009243,0.24301,0.24301,106629000000.0,134661000000.0,6.11,93736000000.0,123216000000.0,391035000000.0,364980000000.0,56950000000.0,308030000000.0,0.68,0.23809999,1.38015,0.051,26.455,26.455,14935799808,0.0067000003,100226522,105169332,0.0067000003,1.91,48497999872,48497999872,98186002432,98186002432,400366010368,,210.63677783301753,210.65845362493346,,-0.021675791915924947,-0.09524960409522884,0.0735738121793039,,,,,,,,,,,,,,,,,,0.007316931186563069,
