datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,dividend_yield,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
2025-06-16 15:45:00-04:00,2025-06-16,15:45:00,1750103100,27.114999771118164,27.1200008392334,26.90999984741211,26.959999084472656,0,0.0,0.0,0.0,0.0,,26.959999084472656,26.959999084472656,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2025-06-16 16:00:00-04:00,2025-06-16,16:00:00,1750104000,26.96,26.96,26.7414,26.8309,0,0.0,0.0,0.0,0.0,,26.94013768686148,26.950436189326535,,-0.010298502465055037,-0.0020597004930110077,-0.008238801972044029,,,,,,,,,,,,,,,,,,-0.004788541871539209,
2025-06-16 16:15:00-04:00,2025-06-16,16:15:00,1750104900,26.8,26.81,26.71,26.76,0,0.0,0.0,0.0,0.0,,26.912424196575095,26.936329804931976,,-0.023905608356880492,-0.006428882065784906,-0.017476726291095587,,,,,,,,,,,,,,,,,,-0.00264247565307163,
2025-06-16 16:30:00-04:00,2025-06-16,16:30:00,1750105800,26.87,26.87,26.71,26.74,0,0.0,0.0,0.0,0.0,,26.885897397102003,26.921786856418496,,-0.035889459316493344,-0.012320997515926593,-0.02356846180056675,,,,,,,,,,,,,,,,,,-0.0007473841554560545,
2025-06-16 16:45:00-04:00,2025-06-16,16:45:00,1750106700,26.74,26.8,26.74,26.7604,0,0.0,0.0,0.0,0.0,,26.866590105240157,26.90983227446157,,-0.04324216922141488,-0.018505231857024254,-0.02473693736439063,,,,,,,,,,,,,,,,,,0.0007629020194466207,
2025-06-16 17:00:00-04:00,2025-06-16,17:00:00,1750107600,26.76,26.81,26.75,26.76,0,0.0,0.0,0.0,0.0,,26.850191627510902,26.89873358746442,,-0.04854195995351773,-0.02451257747632295,-0.024029382477194782,,,,,,,,,,,,,,,,,,-1.4947459679226505e-05,
2025-06-16 17:15:00-04:00,2025-06-16,17:15:00,1750108500,26.7615,26.82,26.72,26.75,0,0.0,0.0,0.0,0.0,,26.834777530970765,26.887716284689276,,-0.05293875371851087,-0.030197812724760534,-0.022740940993750333,,,,,,,,,,,,,,,,,,-0.00037369207772797175,
2025-06-16 17:30:00-04:00,2025-06-16,17:30:00,1750109400,26.74,26.81,26.69,26.69,0,0.0,0.0,0.0,0.0,,26.81250406466757,26.87307063397155,,-0.060566569303979634,-0.03627156404060436,-0.024295005263375274,,,,,,,,,,,,,,,,,,-0.0022429906542055233,
2025-06-16 17:45:00-04:00,2025-06-16,17:45:00,1750110300,26.69,26.75,26.69,26.72,0,0.0,0.0,0.0,0.0,,26.79827267010333,26.861732068492177,,-0.06345939838884718,-0.041709130910252926,-0.02175026747859425,,,,,,,,,,,,,,,,,,0.00112401648557503,
2025-06-16 18:00:00-04:00,2025-06-16,18:00:00,1750111200,26.7213,26.86,26.69,26.8558,0,0.0,0.0,0.0,0.0,,26.807123028548972,26.861292656011276,,-0.05416962746230425,-0.04420123022066319,-0.009968397241641058,,,,,,,,,,,,,,,,,,0.005082335329341214,
2025-06-16 18:15:00-04:00,2025-06-16,18:15:00,1750112100,26.85,26.85,26.7478,26.7511,0,0.0,0.0,0.0,0.0,,26.7985041010799,26.85313023704748,,-0.054626135967581035,-0.04628621137004676,-0.008339924597534278,,,,,,,,,,,,,,,,,,-0.003898599185278351,
2025-06-16 18:30:00-04:00,2025-06-16,18:30:00,1750113000,26.76,26.79,26.48,26.48,0,0.0,0.0,0.0,0.0,,26.749503470144532,26.82549096022915,,-0.0759874900846178,-0.05222646711296097,-0.02376102297165683,,,,,,,,,,,,,,,,,,-0.01013416270732792,
2025-06-16 18:45:00-04:00,2025-06-16,18:45:00,1750113900,26.412,26.51,26.31,26.32,0,0.0,0.0,0.0,0.0,,26.683426013199217,26.78804718539736,,-0.1046211721981436,-0.0627054081299975,-0.041915764068146094,,,,,,,,,,,,,,,,,,-0.006042296072507614,
2025-06-16 19:00:00-04:00,2025-06-16,19:00:00,1750114800,26.3111,26.3698,26.16,26.3007,0,0.0,0.0,0.0,0.0,0.1505214994158062,26.624545088091647,26.751947393886446,18.04789815192808,-0.12740230579479928,-0.07564478766295786,-0.051757518131841415,,,,14.656237187495993,,-85.34376281250401,,,8.541731850295873,40.23154977397779,,,,,,,,-0.0007332826747721288,
2025-06-16 19:15:00-04:00,2025-06-16,19:15:00,1750115700,26.2503,26.39,26.2101,26.25,0,0.0,0.0,0.0,0.0,0.1483714285714284,26.56692276684678,26.714766105450412,17.202527484649167,-0.1478433386036322,-0.09008449785109274,-0.05775884075253945,,,,11.249999999999973,,-88.75000000000003,,,9.637974196033076,40.81455071308057,,,,,,,,-0.001927705346245534,
2025-06-16 19:30:00-04:00,2025-06-16,19:30:00,1750116600,26.1914,26.2,26.02,26.05,0,0.0,0.0,0.0,0.0,0.149185714285714,26.48739618733189,26.665524171713347,16.144975288303115,-0.17812798438145805,-0.1076931951571658,-0.07043478922429225,,,,3.52941176470601,9.811882984067326,-96.47058823529399,,,9.585368189217618,41.6211816527818,,,,,,,,-0.007619047619047636,
2025-06-16 19:45:00-04:00,2025-06-16,19:45:00,1750117500,26.02,26.14,25.7,25.7,0,0.0,0.0,0.0,0.0,0.17197857142857131,26.36625831235775,26.59400386269754,12.999162245182859,-0.22774555033979027,-0.1317036661936907,-0.09604188414609957,,,,0.0,4.926470588235328,-100.0,,,8.31498940897948,48.09153964364341,,,,,,,,-0.013435700575815779,
2025-06-17 04:00:00-04:00,2025-06-17,04:00:00,1750147200,25.94,26.16,25.87,26.16,0,0.0,0.0,0.0,0.0,0.1934071428571428,26.33452626430271,26.56185542842365,34.51185644093147,-0.22732916412094184,-0.15082876577914095,-0.07650039834180089,,,,39.655172413793174,14.394861392833063,-60.344827586206826,,,5.916460464600811,42.76323078627624,,,,,,,,0.01789883268482484,
