datetime,date,time,timestamp,open,high,low,close,volume,Dividends,Stock Splits,beta,book_value,book_value_ttm,cash_per_share,cash_per_share_ttm,current_ratio,current_ratio_ttm,debt_to_equity,debt_to_equity_ttm,earnings_forward,earnings_growth,earnings_quarterly_growth,earnings_ttm,ebitda,ebitda_margin,ebitda_margins,enterprise_value,ev_to_ebitda,float_shares,forward_pe,free_cashflow,free_cashflow_ttm,gross_margins,gross_profits,held_percent_insiders,held_percent_institutions,market_cap,net_income,operating_cashflow,operating_cashflow_ttm,operating_margin,operating_margins,payout_ratio,pe_ratio,price_to_book,price_to_sales,profit_margin,profit_margins,quarterly_debt,quarterly_ebitda,quarterly_eps,quarterly_net_income,quarterly_operating_income,quarterly_revenue,quarterly_total_assets,quarterly_total_equity,quarterly_total_liabilities,quick_ratio,return_on_assets,return_on_equity,revenue_growth,revenue_per_share,revenue_per_share_ttm,shares_outstanding,shares_percent_shares_out,shares_short,shares_short_prior_month,short_percent_of_float,short_ratio,total_cash,total_cash_ttm,total_debt,total_debt_ttm,total_revenue,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
2025-06-16 15:45:00-04:00,2025-06-16,15:45:00,1750103100,141.72999572753906,141.74000549316406,141.26010131835938,141.36000061035156,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,,141.36000061035156,141.36000061035156,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2025-06-16 16:00:00-04:00,2025-06-16,16:00:00,1750104000,141.34,141.85,141.3118,141.56,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,,141.39076974722056,141.37481537995515,,0.01595436726540811,0.003190873453081622,0.012763493812326488,,,,,,,,,,,,,,,,,,0.0014148230672390572,
2025-06-16 16:15:00-04:00,2025-06-16,16:15:00,1750104900,141.53,141.6,141.41,141.57,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,,141.41834363226354,141.38927349995848,,0.0290701323050655,0.008366725223478397,0.0207034070815871,,,,,,,,,,,,,,,,,,7.064142413115704e-05,
2025-06-16 16:30:00-04:00,2025-06-16,16:30:00,1750105800,141.6,141.75,141.41,141.7196,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,,141.46469076576145,141.41374212959118,,0.05094863617026135,0.01688310741283499,0.03406552875742636,,,,,,,,,,,,,,,,,,0.001056721056721166,
2025-06-16 16:45:00-04:00,2025-06-16,16:45:00,1750106700,141.72,141.74,141.41,141.5,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,,141.47012295564429,141.42013160147332,,0.049991354170970226,0.023504756764462037,0.02648659740650819,,,,,,,,,,,,,,,,,,-0.001549538666493655,
2025-06-16 17:00:00-04:00,2025-06-16,17:00:00,1750107600,141.59,141.72,141.5,141.7,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,,141.50548865477595,141.44086259395678,,0.06462606081916533,0.031729017575402696,0.032897043243762636,,,,,,,,,,,,,,,,,,0.001413427561837377,
2025-06-16 17:15:00-04:00,2025-06-16,17:15:00,1750108500,141.69,141.96,141.62,141.73,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,,141.54002886173348,141.4622801795896,,0.07774868214386288,0.04093295048909473,0.03681573165476815,,,,,,,,,,,,,,,,,,0.00021171489061400095,
2025-06-16 17:30:00-04:00,2025-06-16,17:30:00,1750109400,141.7313,141.96,141.73,141.96,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,,141.60463980608216,141.49914831443482,,0.10549149164734217,0.05384465872074422,0.051646832926597955,,,,,,,,,,,,,,,,,,0.0016228039229522206,
2025-06-16 17:45:00-04:00,2025-06-16,17:45:00,1750110300,141.945,141.96,141.81,141.83,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,,141.63931060514645,141.52365584669892,,0.11565475844753337,0.06620667866610205,0.049448079781431314,,,,,,,,,,,,,,,,,,-0.0009157509157509125,
2025-06-16 18:00:00-04:00,2025-06-16,18:00:00,1750111200,141.88,141.97,141.5,141.6,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,,141.63326281973931,141.52931096916566,,0.10395185057365097,0.07375571304761185,0.030196137526039127,,,,,,,,,,,,,,,,,,-0.0016216597334838267,
