datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,dividend_yield,pe_ratio,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
2025-06-16 15:45:00-04:00,2025-06-16,15:45:00,1750103100,12.970000267028809,12.975000381469727,12.920000076293945,12.9399995803833,0,0.0,0.0,0.0,2.53,64.78704,,12.9399995803833,12.9399995803833,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2025-06-16 16:00:00-04:00,2025-06-16,16:00:00,1750104000,12.94,12.96,12.92,12.92,0,0.0,0.0,0.0,2.53,64.78704,,12.936922721862793,12.938518129984537,,-0.0015954081217444127,-0.0003190816243488826,-0.00127632649739553,,,,,,,,,,,,,,,,,,-0.0015455626763404284,
2025-06-16 16:15:00-04:00,2025-06-16,16:15:00,1750104900,12.92,12.97,12.9,12.97,0,0.0,0.0,0.0,2.53,64.78704,,12.942011533883901,12.940850120356053,,0.001161413527848154,-2.298259390947526e-05,0.0011843961217576295,,,,,,,,,,,,,,,,,,0.0038699690402477227,
2025-06-16 16:30:00-04:00,2025-06-16,16:30:00,1750105800,12.97,12.97,12.92,12.93,0,0.0,0.0,0.0,2.53,64.78704,,12.94016360559407,12.940046407737087,,0.00011719785698183216,5.053496268786225e-06,0.00011214436071304594,,,,,,,,,,,,,,,,,,-0.0030840400925212785,
2025-06-16 16:45:00-04:00,2025-06-16,16:45:00,1750106700,12.93,12.95,12.91,12.91,0,0.0,0.0,0.0,2.53,64.78704,,12.93552305088729,12.937820747904711,,-0.0022976970174202194,-0.0004554966064690149,-0.0018422004109512045,,,,,,,,,,,,,,,,,,-0.0015467904098994678,
2025-06-16 17:00:00-04:00,2025-06-16,17:00:00,1750107600,12.91,12.94,12.9,12.94,0,0.0,0.0,0.0,2.53,64.78704,,12.936211812289246,12.937982173985844,,-0.0017703616965984992,-0.0007184696244949117,-0.0010518920721035874,,,,,,,,,,,,,,,,,,0.0023237800154918276,
2025-06-16 17:15:00-04:00,2025-06-16,17:15:00,1750108500,12.94,12.95,12.93,12.95,0,0.0,0.0,0.0,2.53,64.78704,,12.938333071937054,12.938872383320225,,-0.0005393113831715368,-0.0006826379762302368,0.00014332659305869996,,,,,,,,,,,,,,,,,,0.0007727975270479526,
2025-06-16 17:30:00-04:00,2025-06-16,17:30:00,1750109400,12.95,12.97,12.94,12.97,0,0.0,0.0,0.0,2.53,64.78704,,12.943204907023661,12.941178132703913,,0.0020267743197486254,-0.00014075551703446435,0.00216752983678309,,,,,,,,,,,,,,,,,,0.001544401544401719,
2025-06-16 17:45:00-04:00,2025-06-16,17:45:00,1750110300,12.96,12.97,12.94,12.9599,0,0.0,0.0,0.0,2.53,64.78704,,12.945773382866175,12.942564937688807,,0.003208445177367736,0.0005290846218459757,0.00267936055552176,,,,,,,,,,,,,,,,,,-0.0007787201233616647,
2025-06-16 18:00:00-04:00,2025-06-16,18:00:00,1750111200,12.95,12.96,12.93,12.94,0,0.0,0.0,0.0,2.53,64.78704,,12.944885170117534,12.942374942304452,,0.0025102278130813005,0.0009253132600930407,0.0015849145529882598,,,,,,,,,,,,,,,,,,-0.0015355056751981122,
