datetime,date,time,timestamp,open,high,low,close,volume,Dividends,Stock Splits,average_volume,beta,book_value,calculated_asset_turnover,calculated_cashflow_to_debt,calculated_debt_to_assets,calculated_ebitda_margin,calculated_fcf_yield,calculated_net_margin,calculated_operating_margin,calculated_receivables_turnover,calculated_roa,calculated_roe,cash_per_share,current_ratio,day_high,day_low,debt_to_equity,earnings_forward,earnings_growth,earnings_quarterly_growth,earnings_ttm,ebitda,ebitda_margin,enterprise_value,eps_forward,eps_ttm,ev_to_ebitda,ev_to_revenue,fifty_day_average,fifty_two_week_high,fifty_two_week_low,float_shares,forward_pe,free_cashflow,gross_margin,gross_profits,held_percent_insiders,held_percent_institutions,latest_split_ratio,market_cap,net_income,net_income_margin,net_income_ttm,operating_cashflow,operating_margin,payout_ratio,pe_ratio,price_to_book,price_to_sales,profit_margin,quarterly_accounts_payable,quarterly_accounts_receivable,quarterly_capital_expenditure,quarterly_debt,quarterly_depreciation,quarterly_ebit,quarterly_ebitda,quarterly_eps,quarterly_financing_cashflow,quarterly_free_cashflow,quarterly_gross_profit,quarterly_investing_cashflow,quarterly_long_term_debt,quarterly_net_income,quarterly_operating_cashflow,quarterly_operating_expense,quarterly_operating_income,quarterly_research_development,quarterly_revenue,quarterly_selling_general_admin,quarterly_total_assets,quarterly_total_equity,quarterly_total_liabilities,quick_ratio,return_on_assets,return_on_equity,revenue_growth,revenue_per_share,shares_outstanding,shares_percent_shares_out,shares_short,shares_short_prior_month,short_percent_of_float,short_ratio,split_frequency,total_cash,total_debt,total_revenue,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
2024-07-22 00:00:00-04:00,2024-07-22,00:00:00,1721620800,639.5,656.2899780273438,632.5999755859375,647.5,10627500,0.0,0.0,3712545,1.589,58.681,0.7272178635189082,0.4224965995693008,0.32488095227529085,0.6747222876479521,0.013450429368010811,0.22336962115246067,0.26711169154117875,29.207555732627178,0.1728455839595674,157968904.96071982,19.665,1.204,1246.5,1201.01,72.513,23.78,0.252,0.239,23.46,11453826048,0.28511,579097657344,23.78,23.46,50.559,14.415,1227.472,1341.15,587.04,422758766,50.851135,21784893440,0.46919,18848788480,0.0055400003,0.86684,7.0,514617475072,9269773312,9269773312,9269773312,7938040832,0.31746998,0.0,51.544758,20.60701,12.80993,0.23074,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.01,0.13789,0.40842,0.125,93.794,425571008,0.0167,7115106,8138708,0.0168,2.41,2,8370990080,17423486976,40173326336,985.1423,19.785714285714285,647.5,647.5,40.70861423815438,0.0,0.0,0.0,671.3687853359479,633.6054992675781,595.8422131992083,62.541512719990976,68.26231013863021,-37.458487280009024,193.08606782083356,43.528105802838695,14.74369200558439,22.613723699796935,-34008000.0,680.22998046875,633.6349792480469,587.0399780273438,670.9408264160156,634.3068298339844,597.6728332519531,-0.007320448238417043,0.23080770929486438
2024-07-23 00:00:00-04:00,2024-07-23,00:00:00,1721707200,647.5,649.9099731445312,641.0,642.760009765625,10627500,0.0,0.0,3712545,1.589,58.681,0.7272178635189082,0.4224965995693008,0.32488095227529085,0.6747222876479521,0.013450429368010811,0.22336962115246067,0.26711169154117875,29.207555732627178,0.1728455839595674,157968904.96071982,19.665,1.204,1246.5,1201.01,72.513,23.78,0.252,0.239,23.46,11453826048,0.28511,579097657344,23.78,23.46,50.559,14.415,1227.472,1341.15,587.04,422758766,50.851135,21784893440,0.46919,18848788480,0.0055400003,0.86684,7.0,514617475072,9269773312,9269773312,9269773312,7938040832,0.31746998,0.0,51.544758,20.60701,12.80993,0.23074,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.01,0.13789,0.40842,0.125,93.794,425571008,0.0167,7115106,8138708,0.0168,2.41,2,8370990080,17423486976,40173326336,985.1423,19.785714285714285,646.63818359375,647.048572358631,40.70861423815438,-0.3781188790954957,-0.07562377581909914,-0.30249510327639656,671.3687853359479,633.6054992675781,595.8422131992083,62.541512719990976,68.26231013863021,-37.458487280009024,193.08606782083356,43.528105802838695,14.74369200558439,22.613723699796935,-34008000.0,680.22998046875,633.6349792480469,587.0399780273438,670.9408264160156,634.3068298339844,597.6728332519531,-0.007320448238417043,0.23080770929486438
2024-07-24 00:00:00-04:00,2024-07-24,00:00:00,1721793600,635.739990234375,652.4199829101562,632.6699829101562,635.989990234375,10627500,0.0,0.0,3712545,1.589,58.681,0.7272178635189082,0.4224965995693008,0.32488095227529085,0.6747222876479521,0.013450429368010811,0.22336962115246067,0.26711169154117875,29.207555732627178,0.1728455839595674,157968904.96071982,19.665,1.204,1246.5,1201.01,72.513,23.78,0.252,0.239,23.46,11453826048,0.28511,579097657344,23.78,23.46,50.559,14.415,1227.472,1341.15,587.04,422758766,50.851135,21784893440,0.46919,18848788480,0.0055400003,0.86684,7.0,514617475072,9269773312,9269773312,9269773312,7938040832,0.31746998,0.0,51.544758,20.60701,12.80993,0.23074,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.01,0.13789,0.40842,0.125,93.794,425571008,0.0167,7115106,8138708,0.0168,2.41,2,8370990080,17423486976,40173326336,985.1423,19.785714285714285,644.7021484374999,645.9953740610828,40.70861423815438,-1.2101153551919879,-0.30252209169367694,-0.9075932634983109,671.3687853359479,633.6054992675781,595.8422131992083,62.541512719990976,68.26231013863021,-37.458487280009024,193.08606782083356,43.528105802838695,14.74369200558439,22.613723699796935,-34008000.0,680.22998046875,633.6349792480469,587.0399780273438,670.9408264160156,634.3068298339844,597.6728332519531,-0.010532732946031631,0.23080770929486438
2024-07-25 00:00:00-04:00,2024-07-25,00:00:00,1721880000,641.0,649.97998046875,621.7000122070312,634.0900268554688,10627500,0.0,0.0,3712545,1.589,58.681,0.7272178635189082,0.4224965995693008,0.32488095227529085,0.6747222876479521,0.013450429368010811,0.22336962115246067,0.26711169154117875,29.207555732627178,0.1728455839595674,157968904.96071982,19.665,1.204,1246.5,1201.01,72.513,23.78,0.252,0.239,23.46,11453826048,0.28511,579097657344,23.78,23.46,50.559,14.415,1227.472,1341.15,587.04,422758766,50.851135,21784893440,0.46919,18848788480,0.0055400003,0.86684,7.0,514617475072,9269773312,9269773312,9269773312,7938040832,0.31746998,0.0,51.544758,20.60701,12.80993,0.23074,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.01,0.13789,0.40842,0.125,93.794,425571008,0.0167,7115106,8138708,0.0168,2.41,2,8370990080,17423486976,40173326336,985.1423,19.785714285714285,642.7726717862214,644.8615314700719,40.70861423815438,-1.999737987998742,-0.6419652709546899,-1.3577727170440521,671.3687853359479,633.6054992675781,595.8422131992083,62.541512719990976,68.26231013863021,-37.458487280009024,193.08606782083356,43.528105802838695,14.74369200558439,22.613723699796935,-34008000.0,680.22998046875,633.6349792480469,587.0399780273438,670.9408264160156,634.3068298339844,597.6728332519531,-0.0029874108210509176,0.23080770929486438
2024-07-26 00:00:00-04:00,2024-07-26,00:00:00,1721966400,645.0,646.989990234375,629.77001953125,631.3699951171875,10627500,0.0,0.0,3712545,1.589,58.681,0.7272178635189082,0.4224965995693008,0.32488095227529085,0.6747222876479521,0.013450429368010811,0.22336962115246067,0.26711169154117875,29.207555732627178,0.1728455839595674,157968904.96071982,19.665,1.204,1246.5,1201.01,72.513,23.78,0.252,0.239,23.46,11453826048,0.28511,579097657344,23.78,23.46,50.559,14.415,1227.472,1341.15,587.04,422758766,50.851135,21784893440,0.46919,18848788480,0.0055400003,0.86684,7.0,514617475072,9269773312,9269773312,9269773312,7938040832,0.31746998,0.0,51.544758,20.60701,12.80993,0.23074,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.01,0.13789,0.40842,0.125,93.794,425571008,0.0167,7115106,8138708,0.0168,2.41,2,8370990080,17423486976,40173326336,985.1423,19.785714285714285,640.699457846397,643.5766232459877,40.70861423815438,-2.81258175079563,-1.076088566922878,-1.736493183872752,671.3687853359479,633.6054992675781,595.8422131992083,62.541512719990976,68.26231013863021,-37.458487280009024,193.08606782083356,43.528105802838695,14.74369200558439,22.613723699796935,-34008000.0,680.22998046875,633.6349792480469,587.0399780273438,670.9408264160156,634.3068298339844,597.6728332519531,-0.004289661756344376,0.23080770929486438
2024-07-29 00:00:00-04:00,2024-07-29,00:00:00,1722225600,634.6099853515625,634.6099853515625,623.9299926757812,626.9600219726562,10627500,0.0,0.0,3712545,1.589,58.681,0.7272178635189082,0.4224965995693008,0.32488095227529085,0.6747222876479521,0.013450429368010811,0.22336962115246067,0.26711169154117875,29.207555732627178,0.1728455839595674,157968904.96071982,19.665,1.204,1246.5,1201.01,72.513,23.78,0.252,0.239,23.46,11453826048,0.28511,579097657344,23.78,23.46,50.559,14.415,1227.472,1341.15,587.04,422758766,50.851135,21784893440,0.46919,18848788480,0.0055400003,0.86684,7.0,514617475072,9269773312,9269773312,9269773312,7938040832,0.31746998,0.0,51.544758,20.60701,12.80993,0.23074,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.01,0.13789,0.40842,0.125,93.794,425571008,0.0167,7115106,8138708,0.0168,2.41,2,8370990080,17423486976,40173326336,985.1423,19.785714285714285,638.201378596626,641.9940897913847,40.70861423815438,-3.769165670490338,-1.61470398763637,-2.154461682853968,671.3687853359479,633.6054992675781,595.8422131992083,62.541512719990976,68.26231013863021,-37.458487280009024,193.08606782083356,43.528105802838695,14.74369200558439,22.613723699796935,-34008000.0,680.22998046875,633.6349792480469,587.0399780273438,670.9408264160156,634.3068298339844,597.6728332519531,-0.006984768327029434,0.23080770929486438
2024-07-30 00:00:00-04:00,2024-07-30,00:00:00,1722312000,630.1699829101562,634.6900024414062,617.0,622.5800170898438,10627500,0.0,0.0,3712545,1.589,58.681,0.7272178635189082,0.4224965995693008,0.32488095227529085,0.6747222876479521,0.013450429368010811,0.22336962115246067,0.26711169154117875,29.207555732627178,0.1728455839595674,157968904.96071982,19.665,1.204,1246.5,1201.01,72.513,23.78,0.252,0.239,23.46,11453826048,0.28511,579097657344,23.78,23.46,50.559,14.415,1227.472,1341.15,587.04,422758766,50.851135,21784893440,0.46919,18848788480,0.0055400003,0.86684,7.0,514617475072,9269773312,9269773312,9269773312,7938040832,0.31746998,0.0,51.544758,20.60701,12.80993,0.23074,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.01,0.13789,0.40842,0.125,93.794,425571008,0.0167,7115106,8138708,0.0168,2.41,2,8370990080,17423486976,40173326336,985.1423,19.785714285714285,635.3611310499383,640.145130486476,40.70861423815438,-4.825074650412944,-2.2567781201916848,-2.568296530221259,671.3687853359479,633.6054992675781,595.8422131992083,62.541512719990976,68.26231013863021,-37.458487280009024,193.08606782083356,43.528105802838695,14.74369200558439,22.613723699796935,-34008000.0,680.22998046875,633.6349792480469,587.0399780273438,670.9408264160156,634.3068298339844,597.6728332519531,-0.006986099159929426,0.23080770929486438
2024-07-31 00:00:00-04:00,2024-07-31,00:00:00,1722398400,626.5700073242188,633.5999755859375,622.5800170898438,628.3499755859375,10627500,0.0,0.0,3712545,1.589,58.681,0.7272178635189082,0.4224965995693008,0.32488095227529085,0.6747222876479521,0.013450429368010811,0.22336962115246067,0.26711169154117875,29.207555732627178,0.1728455839595674,157968904.96071982,19.665,1.204,1246.5,1201.01,72.513,23.78,0.252,0.239,23.46,11453826048,0.28511,579097657344,23.78,23.46,50.559,14.415,1227.472,1341.15,587.04,422758766,50.851135,21784893440,0.46919,18848788480,0.0055400003,0.86684,7.0,514617475072,9269773312,9269773312,9269773312,7938040832,0.31746998,0.0,51.544758,20.60701,12.80993,0.23074,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.01,0.13789,0.40842,0.125,93.794,425571008,0.0167,7115106,8138708,0.0168,2.41,2,8370990080,17423486976,40173326336,985.1423,19.785714285714285,634.086375511029,639.0217824007104,40.70861423815438,-5.137085570602153,-2.8328396102737785,-2.3042459603283745,671.3687853359479,633.6054992675781,595.8422131992083,62.541512719990976,68.26231013863021,-37.458487280009024,193.08606782083356,43.528105802838695,14.74369200558439,22.613723699796935,-34008000.0,680.22998046875,633.6349792480469,587.0399780273438,670.9408264160156,634.3068298339844,597.6728332519531,0.009267818332918232,0.23080770929486438
2024-08-01 00:00:00-04:00,2024-08-01,00:00:00,1722484800,629.25,646.7100219726562,617.6099853515625,624.8499755859375,10627500,0.0,0.0,3712545,1.589,58.681,0.7272178635189082,0.4224965995693008,0.32488095227529085,0.6747222876479521,0.013450429368010811,0.22336962115246067,0.26711169154117875,29.207555732627178,0.1728455839595674,157968904.96071982,19.665,1.204,1246.5,1201.01,72.513,23.78,0.252,0.239,23.46,11453826048,0.28511,579097657344,23.78,23.46,50.559,14.415,1227.472,1341.15,587.04,422758766,50.851135,21784893440,0.46919,18848788480,0.0055400003,0.86684,7.0,514617475072,9269773312,9269773312,9269773312,7938040832,0.31746998,0.0,51.544758,20.60701,12.80993,0.23074,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.01,0.13789,0.40842,0.125,93.794,425571008,0.0167,7115106,8138708,0.0168,2.41,2,8370990080,17423486976,40173326336,985.1423,19.785714285714285,632.4070300701032,637.6720865135892,40.70861423815438,-5.6021985642478285,-3.3867114010685886,-2.21548716317924,671.3687853359479,633.6054992675781,595.8422131992083,62.541512719990976,68.26231013863021,-37.458487280009024,193.08606782083356,43.528105802838695,14.74369200558439,22.613723699796935,-34008000.0,680.22998046875,633.6349792480469,587.0399780273438,670.9408264160156,634.3068298339844,597.6728332519531,-0.005570144244433584,0.23080770929486438
2024-08-02 00:00:00-04:00,2024-08-02,00:00:00,1722571200,620.97998046875,625.27001953125,608.3499755859375,613.6400146484375,10627500,0.0,0.0,3712545,1.589,58.681,0.7272178635189082,0.4224965995693008,0.32488095227529085,0.6747222876479521,0.013450429368010811,0.22336962115246067,0.26711169154117875,29.207555732627178,0.1728455839595674,157968904.96071982,19.665,1.204,1246.5,1201.01,72.513,23.78,0.252,0.239,23.46,11453826048,0.28511,579097657344,23.78,23.46,50.559,14.415,1227.472,1341.15,587.04,422758766,50.851135,21784893440,0.46919,18848788480,0.0055400003,0.86684,7.0,514617475072,9269773312,9269773312,9269773312,7938040832,0.31746998,0.0,51.544758,20.60701,12.80993,0.23074,899909000.0,1335304000.0,-439538000.0,15582804000.0,328914000.0,10684390000.0,26314821000.0,20.28,-4074427000.0,6921826000.0,17962502000.0,-2181784000.0,13798351000.0,8711631000.0,7361364000.0,7544888000.0,10417614000.0,2925295000.0,39000966000.0,4619593000.0,53630374000.0,24743567000.0,28886807000.0,1.01,0.13789,0.40842,0.125,93.794,425571008,0.0167,7115106,8138708,0.0168,2.41,2,8370990080,17423486976,40173326336,985.1423,19.785714285714285,628.9948454479821,635.3833177645271,40.70861423815438,-6.797002510816355,-4.0687696230181425,-2.728232887798213,671.3687853359479,633.6054992675781,595.8422131992083,62.541512719990976,68.26231013863021,-37.458487280009024,193.08606782083356,43.528105802838695,14.74369200558439,22.613723699796935,-34008000.0,680.22998046875,633.6349792480469,587.0399780273438,670.9408264160156,634.3068298339844,597.6728332519531,-0.01794024385931703,0.23080770929486438
