datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,market_cap,pe_ratio,price_to_book,shares_outstanding,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
2024-07-22 00:00:00-04:00,2024-07-22,00:00:00,1721620800,546.1970562271703,548.4391502335842,544.2414332553465,547.8267822265625,65344608,0.0,0.0,0.0,69445633,429.22,629.47,626.46,32.75,1.21,601.2172,629.47,481.8,1.761,575981682688,27.130028,1.4621407,917782016,585.46497,10.98181585490004,547.8267822265625,547.8267822265625,36.33888930707794,0.0,0.0,0.0,555.691852298224,533.073503112793,510.455153927362,43.856397923720294,48.10589890910152,-56.1436020762797,100.24363809622274,36.85182464633317,10.047440159967355,36.83659903267382,-26137843.2,549.8910159782978,526.9418777748149,503.9927395713321,552.4200688531503,533.297216642574,514.1743644319977,-0.0015685869926825857,0.159584526968197
2024-07-23 00:00:00-04:00,2024-07-23,00:00:00,1721707200,547.7180681590119,549.8910159782978,546.4736192248041,546.9674682617188,65344608,0.0,0.0,0.0,69445633,429.22,629.47,626.46,32.75,1.21,601.2172,629.47,481.8,1.761,575981682688,27.130028,1.4621407,917782016,585.46497,10.98181585490004,547.6705433238636,547.7449428013393,36.33888930707794,-0.0685492621528283,-0.013709852430565661,-0.054839409722262644,555.691852298224,533.073503112793,510.455153927362,43.856397923720294,48.10589890910152,-56.1436020762797,100.24363809622274,36.85182464633317,10.047440159967355,36.83659903267382,-26137843.2,549.8910159782978,526.9418777748149,503.9927395713321,552.4200688531503,533.297216642574,514.1743644319977,-0.0015685869926825857,0.159584526968197
2024-07-24 00:00:00-04:00,2024-07-24,00:00:00,1721793600,542.1079180206098,542.414101993874,533.6433387983191,534.57177734375,65344608,0.0,0.0,0.0,69445633,429.22,629.47,626.46,32.75,1.21,601.2172,629.47,481.8,1.761,575981682688,27.130028,1.4621407,917782016,585.46497,10.98181585490004,545.2889495092975,546.4903556149022,36.33888930707794,-1.1103048055902036,-0.23302884306249327,-0.8772759625277103,555.691852298224,533.073503112793,510.455153927362,43.856397923720294,48.10589890910152,-56.1436020762797,100.24363809622274,36.85182464633317,10.047440159967355,36.83659903267382,-26137843.2,549.8910159782978,526.9418777748149,503.9927395713321,552.4200688531503,533.297216642574,514.1743644319977,-0.0226625743526625,0.159584526968197
2024-07-25 00:00:00-04:00,2024-07-25,00:00:00,1721880000,534.6903338025456,540.7252149134714,530.8383474445005,531.7864990234375,65344608,0.0,0.0,0.0,69445633,429.22,629.47,626.46,32.75,1.21,601.2172,629.47,481.8,1.761,575981682688,27.130028,1.4621407,917782016,585.46497,10.98181585490004,542.8339585118683,545.089988320477,36.33888930707794,-2.1360294443129533,-0.6136289633125853,-1.522400481000368,555.691852298224,533.073503112793,510.455153927362,43.856397923720294,48.10589890910152,-56.1436020762797,100.24363809622274,36.85182464633317,10.047440159967355,36.83659903267382,-26137843.2,549.8910159782978,526.9418777748149,503.9927395713321,552.4200688531503,533.297216642574,514.1743644319977,-0.00521029810842677,0.159584526968197
2024-07-26 00:00:00-04:00,2024-07-26,00:00:00,1721966400,535.6089691765218,540.4585404543662,534.828649074335,537.7423706054688,65344608,0.0,0.0,0.0,69445633,429.22,629.47,626.46,32.75,1.21,601.2172,629.47,481.8,1.761,575981682688,27.130028,1.4621407,917782016,585.46497,10.98181585490004,541.9082152561592,544.390215204762,36.33888930707794,-2.440205380422981,-0.9789442467346645,-1.4612611336883163,555.691852298224,533.073503112793,510.455153927362,43.856397923720294,48.10589890910152,-56.1436020762797,100.24363809622274,36.85182464633317,10.047440159967355,36.83659903267382,-26137843.2,549.8910159782978,526.9418777748149,503.9927395713321,552.4200688531503,533.297216642574,514.1743644319977,0.011199741988501932,0.159584526968197
2024-07-29 00:00:00-04:00,2024-07-29,00:00:00,1722225600,539.3029198591126,540.320217524103,536.0434679983305,538.0584106445312,65344608,0.0,0.0,0.0,69445633,429.22,629.47,626.46,32.75,1.21,601.2172,629.47,481.8,1.761,575981682688,27.130028,1.4621407,917782016,585.46497,10.98181585490004,541.2082507813178,543.7871861990257,36.33888930707794,-2.6255000807501574,-1.308255413537763,-1.3172446672123943,555.691852298224,533.073503112793,510.455153927362,43.856397923720294,48.10589890910152,-56.1436020762797,100.24363809622274,36.85182464633317,10.047440159967355,36.83659903267382,-26137843.2,549.8910159782978,526.9418777748149,503.9927395713321,552.4200688531503,533.297216642574,514.1743644319977,0.0005877164537111401,0.159584526968197
2024-07-30 00:00:00-04:00,2024-07-30,00:00:00,1722312000,539.5399397118119,540.6066704721179,531.8951665456115,535.3323364257812,65344608,0.0,0.0,0.0,69445633,429.22,629.47,626.46,32.75,1.21,601.2172,629.47,481.8,1.761,575981682688,27.130028,1.4621407,917782016,585.46497,10.98181585490004,540.1399027166748,542.9819624110976,36.33888930707794,-2.958218372465126,-1.6382480053232356,-1.3199703671418903,555.691852298224,533.073503112793,510.455153927362,43.856397923720294,48.10589890910152,-56.1436020762797,100.24363809622274,36.85182464633317,10.047440159967355,36.83659903267382,-26137843.2,549.8910159782978,526.9418777748149,503.9927395713321,552.4200688531503,533.297216642574,514.1743644319977,-0.00506650238119033,0.159584526968197
2024-07-31 00:00:00-04:00,2024-07-31,00:00:00,1722398400,542.2264921510769,546.6909069240734,540.8437509599753,544.0339965820312,65344608,0.0,0.0,0.0,69445633,429.22,629.47,626.46,32.75,1.21,601.2172,629.47,481.8,1.761,575981682688,27.130028,1.4621407,917782016,585.46497,10.98181585490004,540.8479197831032,543.0821561416627,36.33888930707794,-2.4910336783248113,-1.8088051399235507,-0.6822285384012605,555.691852298224,533.073503112793,510.455153927362,43.856397923720294,48.10589890910152,-56.1436020762797,100.24363809622274,36.85182464633317,10.047440159967355,36.83659903267382,-26137843.2,549.8910159782978,526.9418777748149,503.9927395713321,552.4200688531503,533.297216642574,514.1743644319977,0.01625468809589914,0.159584526968197
2024-08-01 00:00:00-04:00,2024-08-01,00:00:00,1722484800,545.7723474991777,548.0440410770948,532.7939799696431,536.3299560546875,65344608,0.0,0.0,0.0,69445633,429.22,629.47,626.46,32.75,1.21,601.2172,629.47,481.8,1.761,575981682688,27.130028,1.4621407,917782016,585.46497,10.98181585490004,540.0264718324821,542.4390894667126,36.33888930707794,-2.711185271383897,-1.98928116621562,-0.7219041051682771,555.691852298224,533.073503112793,510.455153927362,43.856397923720294,48.10589890910152,-56.1436020762797,100.24363809622274,36.85182464633317,10.047440159967355,36.83659903267382,-26137843.2,549.8910159782978,526.9418777748149,503.9927395713321,552.4200688531503,533.297216642574,514.1743644319977,-0.014160954234010092,0.159584526968197
2024-08-02 00:00:00-04:00,2024-08-02,00:00:00,1722571200,529.1592759231037,530.3840119652383,522.0972101428371,526.3443603515625,65344608,0.0,0.0,0.0,69445633,429.22,629.47,626.46,32.75,1.21,601.2172,629.47,481.8,1.761,575981682688,27.130028,1.4621407,917782016,585.46497,10.98181585490004,537.5388151995876,540.9062581224126,36.33888930707794,-3.649343751991296,-2.3212936833707554,-1.3280500686205405,555.691852298224,533.073503112793,510.455153927362,43.856397923720294,48.10589890910152,-56.1436020762797,100.24363809622274,36.85182464633317,10.047440159967355,36.83659903267382,-26137843.2,549.8910159782978,526.9418777748149,503.9927395713321,552.4200688531503,533.297216642574,514.1743644319977,-0.018618381446713017,0.159584526968197
