,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,market_cap,price_to_book,shares_outstanding,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2024-07-22 00:00:00-04:00,2024-07-22,00:00:00,1721620800,221.5800018310547,221.9199981689453,220.39999389648438,221.8000030517578,10810436,0.0,0.0,0.0,10329539,170.017,313.31,311.61,0.0,306.3624,317.63,217.52,81507737600,1.841757,260300000,273.3853,,221.8000030517578,221.8000030517578,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2024-07-23 00:00:00-04:00,2024-07-23,00:00:00,1721707200,222.33999633789062,222.75,221.86000061035156,222.5800018310547,10810436,0.0,0.0,0.0,10329539,170.017,313.31,311.61,0.0,306.3624,317.63,217.52,81507737600,1.841757,260300000,273.3853,,221.94182101162994,221.87428864978608,,0.062222124844197424,0.012444424968839485,0.04977769987535794,,,,,,,,,,,,,,,,,,0.003516676143213937,
2,2024-07-24 00:00:00-04:00,2024-07-24,00:00:00,1721793600,223.47000122070312,224.8800048828125,221.74000549316406,221.8000030517578,10810436,0.0,0.0,0.0,10329539,170.017,313.31,311.61,0.0,306.3624,317.63,217.52,81507737600,1.841757,260300000,273.3853,,221.9160359280168,221.86721383092626,,0.0480404439680342,0.01956362876867843,0.028476815199355767,,,,,,,,,,,,,,,,,,-0.0035043524704835294,
3,2024-07-25 00:00:00-04:00,2024-07-25,00:00:00,1721880000,219.02000427246094,219.25999450683594,217.52000427246094,218.3300018310547,10810436,0.0,0.0,0.0,10329539,170.017,313.31,311.61,0.0,306.3624,317.63,217.52,81507737600,1.841757,260300000,273.3853,,221.26402972856914,221.53033649760516,,-0.2404272432015091,-0.03243454562535908,-0.20799269757615002,,,,,,,,,,,,,,,,,,-0.01564473026582147,
4,2024-07-26 00:00:00-04:00,2024-07-26,00:00:00,1721966400,219.9600067138672,221.0399932861328,219.6999969482422,220.6300048828125,10810436,0.0,0.0,0.0,10329539,170.017,313.31,311.61,0.0,306.3624,317.63,217.52,81507737600,1.841757,260300000,273.3853,,221.14875248388608,221.44459062952967,,-0.28021875188980516,-0.0819913868782483,-0.19822736501155686,,,,,,,,,,,,,,,,,,0.010534525866662925,
5,2024-07-29 00:00:00-04:00,2024-07-29,00:00:00,1722225600,221.25999450683594,221.5500030517578,219.0500030517578,220.32000732421875,10810436,0.0,0.0,0.0,10329539,170.017,313.31,311.61,0.0,306.3624,317.63,217.52,81507737600,1.841757,260300000,273.3853,,220.99807154576473,221.3374874575953,,-0.3329302092184321,-0.13217915134628508,-0.200751057872147,,,,,,,,,,,,,,,,,,-0.0014050562105476505,
6,2024-07-30 00:00:00-04:00,2024-07-30,00:00:00,1722312000,221.41000366210938,222.9199981689453,220.36000061035156,222.52000427246094,10810436,0.0,0.0,0.0,10329539,170.017,313.31,311.61,0.0,306.3624,317.63,217.52,81507737600,1.841757,260300000,273.3853,,221.27478658698223,221.45010810663013,,-0.19493595103531902,-0.14473051128409187,-0.050205439751227154,,,,,,,,,,,,,,,,,,0.009985461488319247,
7,2024-07-31 00:00:00-04:00,2024-07-31,00:00:00,1722398400,223.72999572753906,226.60000610351562,223.63999938964844,226.5500030517578,10810436,0.0,0.0,0.0,10329539,170.017,313.31,311.61,0.0,306.3624,317.63,217.52,81507737600,1.841757,260300000,273.3853,,222.23391685330506,221.9358123871185,,0.23688208493280172,-0.06840799204071316,0.30529007697351485,,,,,,,,,,,,,,,,,,0.018110725786084414,
8,2024-08-01 00:00:00-04:00,2024-08-01,00:00:00,1722484800,226.74000549316406,227.57000732421875,225.0500030517578,225.77000427246094,10810436,0.0,0.0,0.0,10329539,170.017,313.31,311.61,0.0,306.3624,317.63,217.52,81507737600,1.841757,260300000,273.3853,,222.87684183860614,222.30097351905584,,0.510279423198341,0.047329491007097664,0.4629499321912433,,,,,,,,,,,,,,,,,,-0.003442943141866439,
9,2024-08-02 00:00:00-04:00,2024-08-02,00:00:00,1722571200,227.9499969482422,228.75999450683594,222.8699951171875,225.33999633789062,10810436,0.0,0.0,0.0,10329539,170.017,313.31,311.61,0.0,306.3624,317.63,217.52,81507737600,1.841757,260300000,273.3853,,223.3246881112033,222.59040426370677,,0.6843618396150077,0.1747359607286797,0.509625878886328,,,,,,,,,,,,,,,,,,-0.0019046282784819235,
