,datetime,date,time,timestamp,open,high,low,close,volume,Dividends,Stock Splits,average_volume,day_high,day_low,fifty_day_average,fifty_two_week_high,fifty_two_week_low,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2024-07-22 00:00:00-05:00,2024-07-22,00:00:00,1721624400,16.790000915527344,16.889999389648438,14.75,14.90999984741211,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,,14.90999984741211,14.90999984741211,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2024-07-23 00:00:00-05:00,2024-07-23,00:00:00,1721710800,15.210000038146973,15.350000381469727,13.899999618530273,14.720000267028809,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,,14.875454469160598,14.891904649280367,,-0.015156661682999228,-0.003031332336599846,-0.012125329346399382,,,,,,,,,,,,,,,,,,-0.012743097406287318,
2,2024-07-24 00:00:00-05:00,2024-07-24,00:00:00,1721797200,15.350000381469727,18.459999084472656,15.180000305175781,18.040000915527344,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,,15.450826550318187,15.191723341303888,,0.23798454299468297,0.04517184272965672,0.19281270026502625,,,,,,,,,,,,,,,,,,0.22554351822499452,
3,2024-07-25 00:00:00-05:00,2024-07-25,00:00:00,1721883600,18.40999984741211,19.360000610351562,16.420000076293945,18.459999084472656,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,,15.997948829255362,15.50298769779615,,0.46710659953272504,0.12955879409027038,0.33754780544245466,,,,,,,,,,,,,,,,,,0.023281493771090345,
4,2024-07-26 00:00:00-05:00,2024-07-26,00:00:00,1721970000,17.969999313354492,18.049999237060547,16.3700008392334,16.389999389648438,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,,16.06923074932683,15.587465001782082,,0.4761668493753266,0.1988804051472816,0.277286444228045,,,,,,,,,,,,,,,,,,-0.11213433355830271,
5,2024-07-29 00:00:00-05:00,2024-07-29,00:00:00,1722229200,16.59000015258789,17.209999084472656,16.229999542236328,16.600000381469727,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,,16.165734318807356,15.683896942704715,,0.4945911487491461,0.2580225538676545,0.23656859488149162,,,,,,,,,,,,,,,,,,0.012812751655983723,
6,2024-07-30 00:00:00-05:00,2024-07-30,00:00:00,1722315600,16.639999389648438,18.31999969482422,16.260000228881836,17.690000534057617,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,,16.442873630671038,15.874954427595467,,0.590341353892347,0.32448631387259297,0.265855040019754,,,,,,,,,,,,,,,,,,0.06566265828551643,
7,2024-07-31 00:00:00-05:00,2024-07-31,00:00:00,1722402000,16.65999984741211,16.770000457763672,15.710000038146973,16.360000610351562,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,,16.42780580879477,15.921149302143668,,0.5525349240776514,0.3700960359136047,0.1824388881640467,,,,,,,,,,,,,,,,,,-0.07518371303299154,
8,2024-08-01 00:00:00-05:00,2024-08-01,00:00:00,1722488400,16.200000762939453,19.479999542236328,15.949999809265137,18.59000015258789,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,,16.82093205312079,16.175325573614547,,0.6945095089416551,0.43497873051921476,0.2595307784224403,,,,,,,,,,,,,,,,,,0.13630803539367387,
9,2024-08-02 00:00:00-05:00,2024-08-02,00:00:00,1722574800,20.520000457763672,29.65999984741211,20.010000228881836,23.389999389648438,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,,18.01530793248945,16.862437365617772,,1.1807344418178047,0.5841298727789328,0.5966045690388719,,,,,,,,,,,,,,,,,,0.2582032919667483,
