,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,latest_split_ratio,market_cap,pe_ratio,price_to_book,shares_outstanding,split_frequency,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2024-07-22 00:00:00-04:00,2024-07-22,00:00:00,1721620800,42.313829790523734,42.53056861768857,42.116791418214845,42.45175552368164,36272925,0.0,0.0,0.0,35812895,34.017,52.94,52.37,26.5,1.4,51.3336,53.27,40.66,0.172,1.231,46283681792,18.577194,1.5401124,883444992,1,49.53495,,42.45175552368164,42.45175552368164,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2024-07-23 00:00:00-04:00,2024-07-23,00:00:00,1721707200,42.560129184203866,42.747313581304454,42.461608113471,42.53057098388672,36272925,0.0,0.0,0.0,35812895,34.017,52.94,52.37,26.5,1.4,51.3336,53.27,40.66,0.172,1.231,46283681792,18.577194,1.5401124,883444992,1,49.53495,,42.46608560735529,42.45926175798689,,0.006287273178749331,0.0012574546357498662,0.005029818542999465,,,,,,,,,,,,,,,,,,0.0018565889498047827,
2,2024-07-24 00:00:00-04:00,2024-07-24,00:00:00,1721793600,42.40249977404194,42.491166859743494,41.94931411743164,41.94931411743164,36272925,0.0,0.0,0.0,35812895,34.017,52.94,52.37,26.5,1.4,51.3336,53.27,40.66,0.172,1.231,46283681792,18.577194,1.5401124,883444992,1,49.53495,,42.3721271546419,42.41069531602924,,-0.03522651949731426,-0.006039340190862958,-0.0291871793064513,,,,,,,,,,,,,,,,,,-0.01366680138565024,
3,2024-07-25 00:00:00-04:00,2024-07-25,00:00:00,1721880000,42.028124370882665,42.72760702283208,42.018274143447115,42.10694122314453,36272925,0.0,0.0,0.0,35812895,34.017,52.94,52.37,26.5,1.4,51.3336,53.27,40.66,0.172,1.231,46283681792,18.577194,1.5401124,883444992,1,49.53495,,42.323911530733284,42.381766354802124,,-0.05477588687043777,-0.015786649526777923,-0.03898923734365985,,,,,,,,,,,,,,,,,,0.0037575609763638163,
4,2024-07-26 00:00:00-04:00,2024-07-26,00:00:00,1721966400,42.33353593222911,42.89509287606682,42.31383171828109,42.76701736450195,36272925,0.0,0.0,0.0,35812895,34.017,52.94,52.37,26.5,1.4,51.3336,53.27,40.66,0.172,1.231,46283681792,18.577194,1.5401124,883444992,1,49.53495,,42.404476227782126,42.418456927154494,,-0.016812469554551512,-0.01599181353233264,-0.000820656022218872,,,,,,,,,,,,,,,,,,0.015676183597838733,
5,2024-07-29 00:00:00-04:00,2024-07-29,00:00:00,1722225600,42.865534769406764,42.89509296949044,42.49116597816263,42.70790481567383,36272925,0.0,0.0,0.0,35812895,34.017,52.94,52.37,26.5,1.4,51.3336,53.27,40.66,0.172,1.231,46283681792,18.577194,1.5401124,883444992,1,49.53495,,42.45964506194425,42.44602339272777,,0.008407012704424233,-0.011112048284981267,0.0195190609894055,,,,,,,,,,,,,,,,,,-0.0013821994721846531,
6,2024-07-30 00:00:00-04:00,2024-07-30,00:00:00,1722312000,42.97390765629863,43.348280219580424,42.95420344157909,43.20050048828125,36272925,0.0,0.0,0.0,35812895,34.017,52.94,52.37,26.5,1.4,51.3336,53.27,40.66,0.172,1.231,46283681792,18.577194,1.5401124,883444992,1,49.53495,,42.594346048550975,42.51787835420905,,0.06736544120415999,0.004583449612846985,0.06278199159131301,,,,,,,,,,,,,,,,,,0.011534063184168275,
7,2024-07-31 00:00:00-04:00,2024-07-31,00:00:00,1722398400,43.299017350804114,43.4566472950353,43.06257055536017,43.09212875366211,36272925,0.0,0.0,0.0,35812895,34.017,52.94,52.37,26.5,1.4,51.3336,53.27,40.66,0.172,1.231,46283681792,18.577194,1.5401124,883444992,1,49.53495,,42.68485199493481,42.57256886844268,,0.10414520617076306,0.0244958009244302,0.07964940524633286,,,,,,,,,,,,,,,,,,-0.0025085759052383416,
8,2024-08-01 00:00:00-04:00,2024-08-01,00:00:00,1722484800,43.249761107455186,43.30886999096355,42.29412740332834,42.4813117980957,36272925,0.0,0.0,0.0,35812895,34.017,52.94,52.37,26.5,1.4,51.3336,53.27,40.66,0.172,1.231,46283681792,18.577194,1.5401124,883444992,1,49.53495,,42.64784468641861,42.56387771888583,,0.08304828248208196,0.036206297235960555,0.046841985246121404,,,,,,,,,,,,,,,,,,-0.014174675822077987,
9,2024-08-02 00:00:00-04:00,2024-08-02,00:00:00,1722571200,41.998568619913435,42.14634457600187,41.1808607150859,41.43701171875,36272925,0.0,0.0,0.0,35812895,34.017,52.94,52.37,26.5,1.4,51.3336,53.27,40.66,0.172,1.231,46283681792,18.577194,1.5401124,883444992,1,49.53495,,42.42769323775159,42.45655714744432,,-0.01773305474297615,0.025418426840173217,-0.04315148158314937,,,,,,,,,,,,,,,,,,-0.024582576082137764,
10,2024-08-05 00:00:00-04:00,2024-08-05,00:00:00,1722830400,40.530640229530675,40.61930731410191,40.05775036454893,40.235084533691406,36272925,0.0,0.0,0.0,35812895,34.017,52.94,52.37,26.5,1.4,51.3336,53.27,40.66,0.172,1.231,46283681792,18.577194,1.5401124,883444992,1,49.53495,,42.02903710974064,42.2449883270869,,-0.19237093707790365,-0.018139445943442155,-0.17423149113446149,,,,,,,,,,,,,,,,,,-0.029006126050222125,
