,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,latest_split_ratio,market_cap,pe_ratio,price_to_book,shares_outstanding,split_frequency,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2023-07-25 00:00:00-04:00,2023-07-25,00:00:00,1690257600,189.76829535573606,191.35799237044483,189.61224837288356,190.09988403320312,37340362,0.0,0.0,0.0,32157486,218.694,226.71,224.065,25.5,1.15,213.5288,244.98,171.73,0.576,2.0,63708409856,18.348745,1.0365168,281049984,1,216.0144,,190.09988403320312,190.09988403320312,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2023-07-26 00:00:00-04:00,2023-07-26,00:00:00,1690344000,189.95358063080647,192.28447826293922,189.89506673834876,191.60179138183594,37340362,0.0,0.0,0.0,32157486,218.694,226.71,224.065,25.5,1.15,213.5288,244.98,171.73,0.576,2.0,63708409856,18.348745,1.0365168,281049984,1,216.0144,,190.3729580965909,190.242922828311,,0.11981027282539003,0.02396205456507801,0.09584821826031202,,,,,,,,,,,,,,,,,,0.007900622119109135,
2,2023-07-27 00:00:00-04:00,2023-07-27,00:00:00,1690430400,192.74286623827436,193.00617876705167,188.40289717291355,189.12460327148438,37340362,0.0,0.0,0.0,32157486,218.694,226.71,224.065,25.5,1.15,213.5288,244.98,171.73,0.576,2.0,63708409856,18.348745,1.0365168,281049984,1,216.0144,,190.14598449202606,190.13641620385133,,0.01470291341183838,0.022110226334430085,-0.007407312922591704,,,,,,,,,,,,,,,,,,-0.012928835855270604,
3,2023-07-28 00:00:00-04:00,2023-07-28,00:00:00,1690516800,191.17269034765704,192.07968554180874,190.66554508905142,191.57254028320312,37340362,0.0,0.0,0.0,32157486,218.694,226.71,224.065,25.5,1.15,213.5288,244.98,171.73,0.576,2.0,63708409856,18.348745,1.0365168,281049984,1,216.0144,,190.40535827224005,190.27318992569434,,0.12746331465331195,0.04318084399820646,0.0842824706551055,,,,,,,,,,,,,,,,,,0.012943514325340244,
4,2023-07-31 00:00:00-04:00,2023-07-31,00:00:00,1690776000,192.06016131020894,193.83516213931426,192.0504139549735,193.79615783691406,37340362,0.0,0.0,0.0,32157486,218.694,226.71,224.065,25.5,1.15,213.5288,244.98,171.73,0.576,2.0,63708409856,18.348745,1.0365168,281049984,1,216.0144,,191.02186728399894,190.60871067914385,,0.3917383818518658,0.11289235156893834,0.2788460302829275,,,,,,,,,,,,,,,,,,0.011607183108934827,
5,2023-08-01 00:00:00-04:00,2023-08-01,00:00:00,1690862400,192.5478156283042,193.04521354130247,190.93862385221053,192.90867614746094,37340362,0.0,0.0,0.0,32157486,218.694,226.71,224.065,25.5,1.15,213.5288,244.98,171.73,0.576,2.0,63708409856,18.348745,1.0365168,281049984,1,216.0144,,191.36492344099202,190.82775500945976,,0.5235309819872214,0.19502007765259494,0.32851090433462643,,,,,,,,,,,,,,,,,,-0.004579459672260255,
6,2023-08-02 00:00:00-04:00,2023-08-02,00:00:00,1690948800,190.75331283173009,191.24094848898065,189.29040585997834,190.28518676757812,37340362,0.0,0.0,0.0,32157486,218.694,226.71,224.065,25.5,1.15,213.5288,244.98,171.73,0.576,2.0,63708409856,18.348745,1.0365168,281049984,1,216.0144,,191.16860768218947,190.7760818435663,,0.41153992350444923,0.23832404682296582,0.17321587668148342,,,,,,,,,,,,,,,,,,-0.013599644309815306,
7,2023-08-03 00:00:00-04:00,2023-08-03,00:00:00,1691035200,189.49519888107594,190.8020587295591,188.28585722461617,189.74876403808594,37340362,0.0,0.0,0.0,32157486,218.694,226.71,224.065,25.5,1.15,213.5288,244.98,171.73,0.576,2.0,63708409856,18.348745,1.0365168,281049984,1,216.0144,,190.91045429235245,190.67824205256818,,0.2763161707906079,0.24592247161649422,0.030393699174113664,,,,,,,,,,,,,,,,,,-0.0028190461832816593,
8,2023-08-04 00:00:00-04:00,2023-08-04,00:00:00,1691121600,190.00235872550118,191.45550341478392,188.91980700481184,189.36842346191406,37340362,0.0,0.0,0.0,32157486,218.694,226.71,224.065,25.5,1.15,213.5288,244.98,171.73,0.576,2.0,63708409856,18.348745,1.0365168,281049984,1,216.0144,,190.63008505045457,190.55349742488684,,0.13688217417441706,0.2241144121280788,-0.08723223795366175,,,,,,,,,,,,,,,,,,-0.002004442970155673,
9,2023-08-07 00:00:00-04:00,2023-08-07,00:00:00,1691380800,189.84632227605323,190.23642485877093,187.9152743116596,189.49522399902344,37340362,0.0,0.0,0.0,32157486,218.694,226.71,224.065,25.5,1.15,213.5288,244.98,171.73,0.576,2.0,63708409856,18.348745,1.0365168,281049984,1,216.0144,,190.42374667746708,190.45270947956652,,0.036194246177018385,0.18653037893786675,-0.15033613276084837,,,,,,,,,,,,,,,,,,0.0006695970468111323,
10,2023-08-08 00:00:00-04:00,2023-08-08,00:00:00,1691467200,187.38864716135265,188.51020332451787,185.8087122473208,188.30540466308594,37340362,0.0,0.0,0.0,32157486,218.694,226.71,224.065,25.5,1.15,213.5288,244.98,171.73,0.576,2.0,63708409856,18.348745,1.0365168,281049984,1,216.0144,,190.03859358394322,190.24820425894933,,-0.1380191401199795,0.12162047512629752,-0.25963961524627704,,,,,,,,,,,,,,,,,,-0.0062788882528439505,
