,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,forward_pe,latest_dividend_amount,market_cap,price_to_book,shares_outstanding,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2023-07-25 00:00:00-04:00,2023-07-25,00:00:00,1690257600,93.04311054241353,93.66136614654259,93.01542850643645,93.35684967041016,30974300,0.0,0.0,0.0,37697996,148.865,86.2,85.785,68.5,4.3,86.1334,101.64,83.3,-4302.0,0.328,9438587904,0.5779733,109700000,89.1032,,93.35684967041016,93.35684967041016,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2023-07-26 00:00:00-04:00,2023-07-26,00:00:00,1690344000,93.82745947617352,93.836689167647,93.13538045969118,93.4491195678711,30974300,0.0,0.0,0.0,37697996,148.865,86.2,85.785,68.5,4.3,86.1334,101.64,83.3,-4302.0,0.328,9438587904,0.5779733,109700000,89.1032,,93.37362601540305,93.36563727969215,,0.007360561620828321,0.0014721123241656642,0.005888449296662657,,,,,,,,,,,,,,,,,,0.0009883570170448053,
2,2023-07-27 00:00:00-04:00,2023-07-27,00:00:00,1690430400,92.93235313525466,93.13536407079663,91.27136801209326,91.6312484741211,30974300,0.0,0.0,0.0,37697996,148.865,86.2,85.785,68.5,4.3,86.1334,101.64,83.3,-4302.0,0.328,9438587904,0.5779733,109700000,89.1032,,93.05683009880633,93.2004573934473,,-0.1319718555465812,-0.02521668124998371,-0.10675517429659749,,,,,,,,,,,,,,,,,,-0.01945305747294601,
3,2023-07-28 00:00:00-04:00,2023-07-28,00:00:00,1690516800,91.72354242866658,92.14801672337563,91.49284941805132,92.10187530517578,30974300,0.0,0.0,0.0,37697996,148.865,86.2,85.785,68.5,4.3,86.1334,101.64,83.3,-4302.0,0.328,9438587904,0.5779733,109700000,89.1032,,92.88320195450987,93.09583052789763,,-0.20208859637085652,-0.06059106427415828,-0.14149753209669824,,,,,,,,,,,,,,,,,,0.005136095370212201,
4,2023-07-31 00:00:00-04:00,2023-07-31,00:00:00,1690776000,91.95423876066837,92.58172405381433,91.92655672482537,92.32334899902344,30974300,0.0,0.0,0.0,37697996,148.865,86.2,85.785,68.5,4.3,86.1334,101.64,83.3,-4302.0,0.328,9438587904,0.5779733,109700000,89.1032,,92.78141050805777,93.02226085848103,,-0.2370529437026363,-0.0958834401598539,-0.1411695035427824,,,,,,,,,,,,,,,,,,0.002404659982370827,
5,2023-08-01 00:00:00-04:00,2023-08-01,00:00:00,1690862400,91.4581809802923,91.53220791487797,90.58838920750014,90.81046295166016,30974300,0.0,0.275,0.0,37697996,148.865,86.2,85.785,68.5,4.3,86.1334,101.64,83.3,-4302.0,0.328,9438587904,0.5779733,109700000,89.1032,,92.42305640689457,92.81161343878381,,-0.3824312715305638,-0.1531930064339959,-0.2292382650965679,,,,,,,,,,,,,,,,,,-0.016386819409890396,
6,2023-08-02 00:00:00-04:00,2023-08-02,00:00:00,1690948800,89.79258277768918,89.97764298338676,89.20963677610686,89.8388442993164,30974300,0.0,0.0,0.0,37697996,148.865,86.2,85.785,68.5,4.3,86.1334,101.64,83.3,-4302.0,0.328,9438587904,0.5779733,109700000,89.1032,,91.95319966006217,92.52849256835835,,-0.5694815203402044,-0.2364507092152376,-0.3330308111249668,,,,,,,,,,,,,,,,,,-0.010699413049583884,
7,2023-08-03 00:00:00-04:00,2023-08-03,00:00:00,1691035200,88.08078525938018,88.20107373368361,87.47932876866886,87.76617431640625,30974300,0.0,0.0,0.0,37697996,148.865,86.2,85.785,68.5,4.3,86.1334,101.64,83.3,-4302.0,0.328,9438587904,0.5779733,109700000,89.1032,,91.191922324852,92.07493844912482,,-0.8748822378979639,-0.36413701495178286,-0.5107452229461811,,,,,,,,,,,,,,,,,,-0.023070977805598636,
8,2023-08-04 00:00:00-04:00,2023-08-04,00:00:00,1691121600,88.04374622514781,89.4594774084265,88.02523596703195,89.3206787109375,30974300,0.0,0.0,0.0,37697996,148.865,86.2,85.785,68.5,4.3,86.1334,101.64,83.3,-4302.0,0.328,9438587904,0.5779733,109700000,89.1032,,90.85169621323118,91.81262799786887,,-0.9801800878407363,-0.48734562952957355,-0.49283445831116274,,,,,,,,,,,,,,,,,,0.017711885092850155,
9,2023-08-07 00:00:00-04:00,2023-08-07,00:00:00,1691380800,88.93207411011812,89.01534911729844,88.36763108501674,88.44165802001953,30974300,0.0,0.0,0.0,37697996,148.865,86.2,85.785,68.5,4.3,86.1334,101.64,83.3,-4302.0,0.328,9438587904,0.5779733,109700000,89.1032,,90.41350745082906,91.4915832380737,,-1.121629568549011,-0.614202417333461,-0.5074271512155499,,,,,,,,,,,,,,,,,,-0.009841177917631838,
