,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,latest_split_ratio,market_cap,shares_outstanding,split_frequency,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2023-07-25 00:00:00-04:00,2023-07-25,00:00:00,1690257600,24.584686755344798,24.61280917979965,24.505002380609895,24.551876068115234,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.551876068115234,24.551876068115234,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2023-07-26 00:00:00-04:00,2023-07-26,00:00:00,1690344000,24.542505023519407,24.58000219111752,24.495631328960993,24.561254501342773,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.55358123779297,24.552769252232146,,0.0007481371235620315,0.00014962742471240633,0.0005985096988496252,,,,,,,,,,,,,,,,,,0.0003819843828438696,
2,2023-07-27 00:00:00-04:00,2023-07-27,00:00:00,1690430400,24.528442512939808,24.54719020172381,24.350326059127863,24.378448486328125,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.521738919344813,24.536167274527003,,-0.01325705734915772,-0.002531709530061619,-0.0107253478190961,,,,,,,,,,,,,,,,,,-0.007442861479435181,
3,2023-07-28 00:00:00-04:00,2023-07-28,00:00:00,1690516800,24.41125964993138,24.472192764282227,24.392510174108768,24.472192764282227,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.51273052751525,24.5300744640275,,-0.016600534465641914,-0.0053454745171776785,-0.011255059948464236,,,,,,,,,,,,,,,,,,0.0038453750658773433,
4,2023-07-31 00:00:00-04:00,2023-07-31,00:00:00,1690776000,24.467506170038323,24.51437807131786,24.43000721857596,24.4815673828125,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.507064501205658,24.525454742007025,,-0.018283055121830927,-0.00793299063810833,-0.010350064483722598,,,,,,,,,,,,,,,,,,0.00038307227393019616,
5,2023-08-01 00:00:00-04:00,2023-08-01,00:00:00,1690862400,24.39834681886184,24.407750906562626,24.323115910901866,24.337221145629883,2237237,0.0,0.0815,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.47618389110097,24.507527732828247,,-0.03090771495396183,-0.01252793550127903,-0.0183797794526828,,,,,,,,,,,,,,,,,,-0.005896119105672781,
6,2023-08-02 00:00:00-04:00,2023-08-02,00:00:00,1690948800,24.290205001831055,24.30431023801143,24.20556999745579,24.290205001831055,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.442369547597348,24.486830329876135,,-0.04419718110890969,-0.01886178462280516,-0.025335396486104528,,,,,,,,,,,,,,,,,,-0.0019318616335649574,
7,2023-08-03 00:00:00-04:00,2023-08-03,00:00:00,1691035200,24.186762923429526,24.196167012527592,24.13034018248772,24.144445419311523,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.388201524272652,24.454222243155698,,-0.06573302948134341,-0.028236033594512815,-0.03749699588683059,,,,,,,,,,,,,,,,,,-0.0060007555518178934,
8,2023-08-04 00:00:00-04:00,2023-08-04,00:00:00,1691121600,24.229079100150248,24.384243871297706,24.229079100150248,24.374839782714844,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.385772116716687,24.446662008828,,-0.06347771326823448,-0.03528436952925715,-0.028193343738977333,,,,,,,,,,,,,,,,,,0.009542334040070433,
9,2023-08-07 00:00:00-04:00,2023-08-07,00:00:00,1691380800,24.365433976474634,24.412452622427832,24.337221712714893,24.393646240234375,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,,24.387203775538083,24.44161288800956,,-0.059487104657911516,-0.040124916554988024,-0.01936218810292349,,,,,,,,,,,,,,,,,,0.0007715520465847447,
