,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,forward_pe,latest_dividend_amount,market_cap,price_to_book,shares_outstanding,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2023-07-24 00:00:00-04:00,2023-07-24,00:00:00,1690171200,94.11351699888641,94.26116390239875,93.47680908801708,93.53217315673828,34327008,0.0,0.0,0.0,37585639,148.865,86.77,86.11,68.5,4.3,86.1536,101.64,83.3,-4326.0,0.328,9491244032,0.5811977,109700000,89.1613,,93.53217315673828,93.53217315673828,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2023-07-25 00:00:00-04:00,2023-07-25,00:00:00,1690257600,93.04310293865868,93.66135849226208,93.01542090494385,93.35684204101562,34327008,0.0,0.0,0.0,37585639,148.865,86.77,86.11,68.5,4.3,86.1536,101.64,83.3,-4326.0,0.328,9491244032,0.5811977,109700000,89.1613,,93.50029477206142,93.51547495524089,,-0.013986527749963784,-0.002797305549992757,-0.011189222199971028,,,,,,,,,,,,,,,,,,-0.0018745540684577122,
2,2023-07-26 00:00:00-04:00,2023-07-26,00:00:00,1690344000,93.8274747967396,93.83670448972013,93.13539566725152,93.44913482666016,34327008,0.0,0.0,0.0,37585639,148.865,86.77,86.11,68.5,4.3,86.1536,101.64,83.3,-4326.0,0.328,9491244032,0.5811977,109700000,89.1613,,93.49099296380665,93.50915684775701,,-0.017422855448501195,-0.005722415529694444,-0.011700439918806751,,,,,,,,,,,,,,,,,,0.0009886022666016903,
3,2023-07-27 00:00:00-04:00,2023-07-27,00:00:00,1690430400,92.9323763484357,93.13538733468692,91.27139081038383,91.63127136230469,34327008,0.0,0.0,0.0,37585639,148.865,86.77,86.11,68.5,4.3,86.1536,101.64,83.3,-4326.0,0.328,9491244032,0.5811977,109700000,89.1613,,93.15286176353356,93.33031061104727,,-0.16493133321846187,-0.037564199067447936,-0.12736713415101394,,,,,,,,,,,,,,,,,,-0.019452972654347644,
4,2023-07-28 00:00:00-04:00,2023-07-28,00:00:00,1690516800,91.72354242866658,92.14801672337563,91.49284941805132,92.10187530517578,34327008,0.0,0.0,0.0,37585639,148.865,86.77,86.11,68.5,4.3,86.1536,101.64,83.3,-4326.0,0.328,9491244032,0.5811977,109700000,89.1613,,92.96177331655943,93.21331677239284,,-0.24108003878393447,-0.07826736701074524,-0.16281267177318923,,,,,,,,,,,,,,,,,,0.005135844301563219,
5,2023-07-31 00:00:00-04:00,2023-07-31,00:00:00,1690776000,91.95423116177628,92.58171640306826,91.92654912822087,92.3233413696289,34327008,0.0,0.0,0.0,37585639,148.865,86.77,86.11,68.5,4.3,86.1536,101.64,83.3,-4326.0,0.328,9491244032,0.5811977,109700000,89.1613,,92.84569478075389,93.12855721022484,,-0.2803265461078013,-0.11867920283015645,-0.16164734327764482,,,,,,,,,,,,,,,,,,0.0024045771458973686,
6,2023-08-01 00:00:00-04:00,2023-08-01,00:00:00,1690862400,91.45817329648006,91.5322002248464,90.58838159676303,90.81045532226562,34327008,0.0,0.275,0.0,37585639,148.865,86.77,86.11,68.5,4.3,86.1536,101.64,83.3,-4326.0,0.328,9491244032,0.5811977,109700000,89.1613,,92.47565124284694,92.90778560184778,,-0.4285666961243493,-0.18065670148899504,-0.24790999463535424,,,,,,,,,,,,,,,,,,-0.016386820764060506,
7,2023-08-02 00:00:00-04:00,2023-08-02,00:00:00,1690948800,89.7925980286209,89.97765826575026,89.20965192802741,89.83885955810547,34327008,0.0,0.0,0.0,37585639,148.865,86.77,86.11,68.5,4.3,86.1536,101.64,83.3,-4326.0,0.328,9491244032,0.5811977,109700000,89.1613,,91.99623457289394,92.61550693101518,,-0.6173315276529507,-0.2679916667217862,-0.34933986093116454,,,,,,,,,,,,,,,,,,-0.010699161905005194,
8,2023-08-03 00:00:00-04:00,2023-08-03,00:00:00,1691035200,88.08075463240725,88.20104306488463,87.47929835083112,87.76614379882812,34327008,0.0,0.0,0.0,37585639,148.865,86.77,86.11,68.5,4.3,86.1536,101.64,83.3,-4326.0,0.328,9491244032,0.5811977,109700000,89.1613,,91.22712715942743,92.15366282318783,,-0.9235339316971505,-0.3991001197168591,-0.5244338119802914,,,,,,,,,,,,,,,,,,-0.023071483425685768,
9,2023-08-04 00:00:00-04:00,2023-08-04,00:00:00,1691121600,88.04374622514781,89.4594774084265,88.02523596703195,89.3206787109375,34327008,0.0,0.0,0.0,37585639,148.865,86.77,86.11,68.5,4.3,86.1536,101.64,83.3,-4326.0,0.328,9491244032,0.5811977,109700000,89.1613,,90.88050016879289,91.88385481249732,,-1.0289030138803668,-0.5250606985495607,-0.503842315330806,,,,,,,,,,,,,,,,,,0.01771223896623031,
