,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,latest_split_ratio,market_cap,shares_outstanding,split_frequency,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
0,2023-07-24 00:00:00-04:00,2023-07-24,00:00:00,1690171200,24.589382049297722,24.608131531024544,24.53782186857345,24.598756790161133,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,,24.598756790161133,24.598756790161133,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2023-07-25 00:00:00-04:00,2023-07-25,00:00:00,1690257600,24.584696304832693,24.612818740211207,24.5050118991458,24.5518856048584,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,,24.590234756469727,24.59429286775135,,-0.0037390119329820948,-0.000747802386596419,-0.0029912095463856757,,,,,,,,,,,,,,,,,,-0.0019054290305224875,
2,2023-07-26 00:00:00-04:00,2023-07-26,00:00:00,1690344000,24.542506929412017,24.58000409992204,24.49563323121354,24.561256408691406,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,,24.584965965964575,24.59114653831707,,-0.005878298903109425,-0.0017739016898990203,-0.004104397213210404,,,,,,,,,,,,,,,,,,0.0003816734887016615,
3,2023-07-27 00:00:00-04:00,2023-07-27,00:00:00,1690430400,24.52844635110788,24.54719404282549,24.350329869424577,24.37845230102539,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,,24.54741802688472,24.57088994428929,,-0.022070053136214796,-0.005833131979162176,-0.01623692115705262,,,,,,,,,,,,,,,,,,-0.007442783244644091,
4,2023-07-28 00:00:00-04:00,2023-07-28,00:00:00,1690516800,24.41126155253092,24.47219467163086,24.392512075246984,24.47219467163086,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,,24.5337410532022,24.561490394512298,,-0.027026366026831283,-0.010071778788695997,-0.016954587238135286,,,,,,,,,,,,,,,,,,0.0038452962250408174,
5,2023-07-31 00:00:00-04:00,2023-07-31,00:00:00,1690776000,24.4675176075571,24.51438953074726,24.430018638565567,24.481578826904297,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,,24.524257012057127,24.55387976902582,,-0.029852930793655474,-0.014028009189687895,-0.01582492160396758,,,,,,,,,,,,,,,,,,0.00038346194116845034,
6,2023-08-01 00:00:00-04:00,2023-08-01,00:00:00,1690862400,24.398350643140144,24.407754732314963,24.32311972338823,24.33722496032715,1371804,0.0,0.0815,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,,24.490251184469855,24.533245977721187,,-0.04324267965936457,-0.01987094328362323,-0.023371736375741338,,,,,,,,,,,,,,,,,,-0.005896427987663544,
7,2023-08-02 00:00:00-04:00,2023-08-02,00:00:00,1690948800,24.290205001831055,24.30431023801143,24.20556999745579,24.290205001831055,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,,24.4538791512628,24.5100992181126,,-0.05699130945230735,-0.027295016517360056,-0.029696292934947292,,,,,,,,,,,,,,,,,,-0.0019320180740713955,
8,2023-08-03 00:00:00-04:00,2023-08-03,00:00:00,1691035200,24.186762923429526,24.196167012527592,24.13034018248772,24.144445419311523,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,,24.397618472726204,24.47527504679821,,-0.07874109938335394,-0.03758423309055883,-0.04115686629279511,,,,,,,,,,,,,,,,,,-0.0060007555518178934,
9,2023-08-04 00:00:00-04:00,2023-08-04,00:00:00,1691121600,24.229080996093,24.384245779382216,24.229080996093,24.374841690063477,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,,24.393477239514798,24.46570996520443,,-0.07650500893448964,-0.045368388259345,-0.03113662067514464,,,,,,,,,,,,,,,,,,0.009542413037479713,
10,2023-08-07 00:00:00-04:00,2023-08-07,00:00:00,1691380800,24.36543207133193,24.41245071360872,24.337219809778116,24.393644332885742,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,,24.393507620127696,24.45884657165027,,-0.07238130834132761,-0.050770972275741524,-0.021610336065586086,,,,,,,,,,,,,,,,,,0.0007713954847932136,
11,2023-08-08 00:00:00-04:00,2023-08-08,00:00:00,1691467200,24.445372117163235,24.478285533836093,24.37954349017084,24.398351669311523,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,,24.394388356342937,24.453085152379913,,-0.06795011655669825,-0.05420680113193287,-0.013743315424765375,,,,,,,,,,,,,,,,,,0.0001929738894912436,
12,2023-08-09 00:00:00-04:00,2023-08-09,00:00:00,1691553600,24.388945485857693,24.407753663383627,24.365436160773545,24.379541397094727,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,,24.3916889092069,24.446080985209896,,-0.06520455933467062,-0.05640635277248043,-0.008798206562190193,,,,,,,,,,,,,,,,,,-0.0007709648779452571,
13,2023-08-10 00:00:00-04:00,2023-08-10,00:00:00,1691640000,24.393645608395357,24.431260165454354,24.26199017457305,24.266693115234375,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,0.12334763293340625,24.368962401211895,24.42899642616461,34.408265105257215,-0.071312551980526,-0.059387592614089546,-0.01192495936643645,,,,28.26093109505589,,-71.73906890494412,,,18.78045075370686,35.01855206432172,,,,,,,,-0.004628810690991858,
14,2023-08-11 00:00:00-04:00,2023-08-11,00:00:00,1691726400,24.219673737599493,24.2760982661287,24.210271443157698,24.224376678466797,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,0.12302743011339956,24.342674087985515,24.409508831145768,33.09318931583073,-0.07866100781864205,-0.06324227565500005,-0.015418732163641993,,,,19.49029536623865,,-80.50970463376134,,,18.829330530247677,38.112435671273126,,,,,,,,-0.0017438073068559712,
15,2023-08-14 00:00:00-04:00,2023-08-14,00:00:00,1691985600,24.205571869847663,24.233784138037247,24.167957305908203,24.167957305908203,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,0.12002885804651646,24.31090740033509,24.386503923980285,32.81023961085653,-0.08802261396066058,-0.06819834331613217,-0.019824270644528408,,,,8.365608616123072,18.70561169247254,-91.63439138387692,,,19.299726612365102,39.63015233527187,,,,,,,,-0.0023290329946340504,
16,2023-08-15 00:00:00-04:00,2023-08-15,00:00:00,1692072000,24.149142759593545,24.210268427730348,24.09272003173828,24.09272003173828,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,0.12239868142391407,24.271236969681127,24.35852450567152,30.19044424086809,-0.10035593279248545,-0.07462986121140283,-0.025726071581082616,,,,0.0,9.285301327453908,-100.0,,,18.926054749471735,42.70618346689303,,,,,,,,-0.0031131002598854263,
17,2023-08-16 00:00:00-04:00,2023-08-16,00:00:00,1692158400,24.088019010895945,24.125635361561006,24.022192190878407,24.041000366210938,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,0.11472129795361193,24.22937576905018,24.32828411143718,33.95405025956924,-0.11300091735757789,-0.08230407244063784,-0.030696844916940053,,,,3.821267164414615,4.062291926845895,-96.1787328355854,,,20.192624972120203,40.90844302610606,,,,,,,,-0.002146692671446404,
18,2023-08-17 00:00:00-04:00,2023-08-17,00:00:00,1692244800,24.041003994210893,24.05981037873515,23.970474222893493,24.02219581604004,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,0.11440656832762539,24.191706686684697,24.29913284520888,26.960463585601033,-0.12312027488109578,-0.09046731292872942,-0.03265296195236636,,,,9.509126218681711,4.443464461032108,-90.4908737813183,,,20.248174381547138,44.2499395992192,,,,,,,,-0.000782186676280272,
19,2023-08-18 00:00:00-04:00,2023-08-18,00:00:00,1692331200,24.040998068673716,24.116228969167892,24.040998068673716,24.055103302001953,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,0.11509672982377975,24.166869707651472,24.27589193633203,28.67841980997136,-0.12702036779423054,-0.09777792390182964,-0.029242443892400896,24.67131138365041,24.311621284484865,23.95193118531932,16.665457677847165,9.998617020314496,-83.33454232215284,-116.92333966038483,,21.00947811832236,43.98460100475787,-685902.0,24.612818740211207,24.29164648155235,23.970474222893493,24.543945690282488,24.3176575511013,24.09136941192011,0.0013698783497526623,
20,2023-08-21 00:00:00-04:00,2023-08-21,00:00:00,1692590400,23.975172977809404,23.998682299594567,23.94225777493464,23.984575271606445,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,0.11183861722029752,24.133725264734192,24.24814749207245,30.96413774926077,-0.1342546382529477,-0.10507326677205325,-0.029181371480894447,24.642252387791153,24.28091220855713,23.919572029323106,7.89464649340788,11.356410129978919,-92.10535350659212,-140.8763567939661,,21.62153187176833,44.74490113712727,-1097443.2,24.612818740211207,24.27753825757292,23.94225777493464,24.517879362683722,24.28733763704091,24.056795911398098,-0.0029319362926883974,
21,2023-08-22 00:00:00-04:00,2023-08-22,00:00:00,1692676800,23.998687535738753,24.041005041643587,23.984580504672692,24.031600952148438,1371804,0.0,0.0,0.0,3745165,26.7,26.65,29.75,3.09,26.4408,53.11,25.68,0.105,2.0,3092211968,115900000,1,26.3563,0.10646538916071055,24.115157207900417,24.227524012079687,36.0407627888205,-0.13464121024143694,-0.11098685546593,-0.02365435477550694,24.60893831243977,24.25489797592163,23.90085763940349,16.667640011200227,13.742581394151756,-83.33235998879978,-108.51799970702447,,25.552224516521438,39.116627517618305,-1371804.0,24.58000409992204,24.26113093742834,23.94225777493464,24.485866159818386,24.2604621412784,24.035058122738413,0.0019606634684776747,
